case_id,source,category,gold_nct,selected_doc,backbone,decision,parse_ok,latency_sec,answer_chars,missing_facts_n,unresolved_reqs_n,cross_trial_leak_n,gen_snippet,regime_pool,regime_gate,area
case_paraphrase_015,paraphrase_trec2021,consent_understanding,,NCT00843310,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,9.548,239,2,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Before you can join our clinical trial, we need to check a few things with you. We'll make sure your condition matches what we're looking for, and we'll als",curated_30,accept,Oncology
case_trec2021_065,trec2021,possible_match_insufficient_evidence,NCT00005754,NCT00419562,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.202,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, it seems like you might not be eligible for this specific clinical trial. You need to have a proband with Type 1 diab",curated_30,accept,Cardiovascular
case_trec2022_034,trec2022,possible_match_insufficient_evidence,,NCT00119704,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,11.982,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, it seems like you might be eligible for the clinical trial. However, we need more details to confirm. Please let us k",curated_30,accept,MSK_Bone
case_trec2022_031,trec2022,possible_match_insufficient_evidence,,NCT02789592,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,9.478,129,3,3,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, it seems like you might be eligible for the clinical trial, but we need to check a few things."",   ""supported_patient_fac",curated_30,accept,Neurology_CNS
case_paraphrase_011,paraphrase_trec2021,explanation_request,,NCT00843310,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.221,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""This study aims to see if adding a medication called Revlimid to the current treatments for multiple myeloma can help more people get better and cause fewer",curated_30,accept,Oncology
case_01,handcrafted,possible_match_insufficient_evidence,,NCT00543023,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,9.483,147,3,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, you seem to meet most of the eligibility criteria for this study, but there are some details we need to confirm."",   ""sup",curated_30,accept,MSK_Bone
case_trec2022_042,trec2022,possible_match_insufficient_evidence,,NCT02638922,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.301,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, it seems you may be eligible for the clinical trial. However, there are some details missing or unresolved that need furt",curated_30,accept,Metabolic_Endocrine
case_trec2021_012,trec2021,possible_match_insufficient_evidence,NCT00001314,NCT03975998,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.097,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, you seem to meet some eligibility criteria for the study, but there are some details we need to confirm."",   ""support",curated_30,accept,Cardiovascular
case_trec2021_059,trec2021,possible_match_insufficient_evidence,NCT00001909,NCT00819676,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.103,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, it seems like you might be eligible for the clinical trial, but we need to check a few things."",   ""supported_patient",curated_30,accept,Other
case_paraphrase_029,paraphrase_trec2022,cannot_determine,,NCT03829631,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,11.267,397,3,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on your symptoms, you might be eligible for the clinical trial if you have benign low back pain and have not had a confirmed cause of your pain, such ",curated_30,accept,Neurology_CNS
case_trec2021_033,trec2021,possible_match_insufficient_evidence,NCT00006146,NCT00922233,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,9.888,150,2,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, it seems like you might be eligible for the clinical trial. However, there are some details we need to confirm."",   """,curated_30,accept,Other
case_14,handcrafted,teachback_style,,NCT00816998,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,8.157,222,2,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""The study requires a specific type of wrist fracture called a 'closed unstable distal radius fracture' to participate. This means you need to have a broken ",curated_30,accept,MSK_Bone
case_trec2021_044,trec2021,possible_match_insufficient_evidence,NCT00323752,NCT02609009,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.224,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, you seem to meet some of the eligibility criteria for the clinical trial. However, we need more details to confirm your e",curated_30,accept,MSK_Bone
case_paraphrase_014,paraphrase_trec2021,cannot_determine,,NCT00843310,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.24,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, it seems like you might be eligible for the clinical trial, but there are some details we need to confirm. You have m",curated_30,accept,Oncology
case_paraphrase_013,paraphrase_trec2021,risk_request,,NCT00843310,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.246,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on your medical history and current condition, you may be considered for this clinical trial. However, there are some uncertainties regarding your eli",curated_30,accept,Oncology
case_12,handcrafted,consent_understanding,,NCT04471363,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,11.381,109,5,3,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Before we can say you are definitively eligible, there are some things the study team still needs to confirm."",   ""supported_patient_facts"": [""You are a can",curated_30,accept,Other
case_trec2021_008,trec2021,possible_match_insufficient_evidence,NCT00005579,NCT01604031,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,8.823,147,2,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, you seem to be a suitable candidate for this clinical trial. However, there are some details we need to confirm."",   ""sup",curated_30,accept,Oncology
case_trec2022_046,trec2022,possible_match_insufficient_evidence,,NCT04822701,Qwen/Qwen2.5-3B-Instruct,parse_fail,False,12.188,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, it seems you might be eligible for the clinical trial, but we need to confirm a few details."",   ""supported_patient_f",curated_30,accept,Other
case_trec2022_005,trec2022,possible_match_insufficient_evidence,,NCT04530149,Qwen/Qwen2.5-3B-Instruct,possible_match_insufficient_evidence,True,10.188,169,2,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, it seems you may not be eligible for this clinical trial. You need to meet specific criteria related to rib fractures and",curated_30,accept,Cardiovascular
case_05,handcrafted,possible_match_insufficient_evidence,,NCT02584972,Qwen/Qwen2.5-3B-Instruct,unlikely_match,True,6.451,227,2,0,0,"{   ""decision"": ""unlikely_match"",   ""patient_facing_answer"": ""Based on the information provided, you do not seem to fit the criteria for this study. The study is specifically for children aged 6-12 years old with Autism Spectrum Disorder (A",curated_30,accept,MSK_Bone
case_trec2021_036,trec2021,possible_match_insufficient_evidence,NCT00005381,NCT03158805,Qwen/Qwen2.5-7B-Instruct,possible_match_insufficient_evidence,True,23.394,165,4,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, there are some aspects that align with the study's inclusion criteria, but we need more details to determine your eli",curated_30,accept,Metabolic_Endocrine
case_trec2021_025,trec2021,possible_match_insufficient_evidence,NCT00001250,NCT02515110,Qwen/Qwen2.5-7B-Instruct,possible_match_insufficient_evidence,True,25.035,132,6,3,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, you may be eligible for the clinical trial, but we need more details to confirm your eligibility."",   ""supported_patient_",curated_30,accept,Oncology
case_paraphrase_030,paraphrase_trec2022,consent_understanding,,NCT03829631,Qwen/Qwen2.5-7B-Instruct,possible_match_insufficient_evidence,True,18.473,125,2,3,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""The study team may need to confirm your eligibility and discuss the details of the study with you before you can participate."",   ""supported_patient_facts"":",curated_30,accept,Neurology_CNS
case_trec2022_002,trec2022,possible_match_insufficient_evidence,,NCT01166412,Qwen/Qwen2.5-7B-Instruct,possible_match_insufficient_evidence,True,23.039,166,3,1,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, you may be eligible for the clinical trial, but there are some unresolved requirements and missing facts that need to be ",curated_30,accept,Other
case_paraphrase_005,paraphrase_trec2021,consent_understanding,,NCT03902262,Qwen/Qwen2.5-7B-Instruct,possible_match_insufficient_evidence,True,20.456,243,2,1,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""The study team will need to confirm your eligibility based on the information you have provided. They will be looking at several factors including your diag",curated_30,accept,Other
case_13,handcrafted,consent_understanding,,NCT01710072,Qwen/Qwen2.5-7B-Instruct,possible_match_insufficient_evidence,True,16.07,203,2,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, there are some key details that need to be confirmed before determining if you are eligible for the study. Please provide",curated_30,accept,Other
case_trec2021_022,trec2021,possible_match_insufficient_evidence,NCT00172822,NCT03791229,Qwen/Qwen2.5-7B-Instruct,unlikely_match,True,12.96,100,0,1,0,"{   ""decision"": ""unlikely_match"",   ""patient_facing_answer"": ""Based on the information provided, you do not meet the eligibility criteria for this clinical trial."",   ""supported_patient_facts"": [],   ""missing_patient_facts"": [],   ""unresolv",curated_30,accept,Other
case_paraphrase_020,paraphrase_trec2022,consent_understanding,,NCT04530149,Qwen/Qwen2.5-7B-Instruct,unlikely_match,True,23.477,201,5,3,0,"{   ""decision"": ""unlikely_match"",   ""patient_facing_answer"": ""Based on the information you provided, it seems unlikely that you would be eligible for this clinical trial. However, the study team will need to confirm several details before m",curated_30,accept,Cardiovascular
case_04,handcrafted,cannot_determine,,NCT00800644,Qwen/Qwen2.5-7B-Instruct,possible_match_insufficient_evidence,True,21.247,199,7,5,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, we think you might be able to join the study, but we need more details to confirm. Please talk to your doctor about w",curated_30,accept,MSK_Bone
case_trec2022_045,trec2022,possible_match_insufficient_evidence,,NCT00314431,Qwen/Qwen2.5-7B-Instruct,unlikely_match,True,14.655,115,0,0,0,"{   ""decision"": ""unlikely_match"",   ""patient_facing_answer"": ""Based on the information provided, it does not seem like you meet the eligibility criteria for this clinical trial."",   ""supported_patient_facts"": [""The infant has Down syndrome""",curated_30,accept,Other
case_paraphrase_015,paraphrase_trec2021,consent_understanding,,NCT00843310,Qwen/Qwen2.5-7B-Instruct,parse_fail,False,26.472,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""The study team will need to confirm several details about your medical history and current condition before making a final decision."",   ""supported_patient_",curated_30,accept,Oncology
case_trec2021_065,trec2021,possible_match_insufficient_evidence,NCT00005754,NCT00419562,Qwen/Qwen2.5-7B-Instruct,possible_match_insufficient_evidence,True,23.322,166,3,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, you may be eligible for the clinical trial, but there are some unresolved requirements and missing facts that need to be ",curated_30,accept,Cardiovascular
case_trec2022_034,trec2022,possible_match_insufficient_evidence,,NCT00119704,Qwen/Qwen2.5-7B-Instruct,possible_match_insufficient_evidence,True,21.15,172,1,4,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, you may be eligible for the clinical trial, but there are some unresolved requirements and missing details that need ",curated_30,accept,MSK_Bone
case_trec2022_031,trec2022,possible_match_insufficient_evidence,,NCT02789592,Qwen/Qwen2.5-7B-Instruct,parse_fail,False,26.172,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, it seems like you might be eligible for the clinical trial, but we need more details to confirm."",   ""supported_patient_f",curated_30,accept,Neurology_CNS
case_paraphrase_011,paraphrase_trec2021,explanation_request,,NCT00843310,Qwen/Qwen2.5-7B-Instruct,parse_fail,False,26.521,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Your situation involves multiple myeloma with recurrent disease and systemic amyloidosis, which aligns with the study's focus on patients who are not eligib",curated_30,accept,Oncology
case_01,handcrafted,possible_match_insufficient_evidence,,NCT00543023,Qwen/Qwen2.5-7B-Instruct,possible_match_insufficient_evidence,True,20.909,110,3,1,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, you may be eligible for the study, but we need to confirm some details."",   ""supported_patient_facts"": [""55-year-old ",curated_30,accept,MSK_Bone
case_trec2022_042,trec2022,possible_match_insufficient_evidence,,NCT02638922,Qwen/Qwen2.5-7B-Instruct,possible_match_insufficient_evidence,True,20.159,162,4,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, there are some aspects that align with the study criteria, but additional details are needed to make a final determin",curated_30,accept,Metabolic_Endocrine
case_trec2021_012,trec2021,possible_match_insufficient_evidence,NCT00001314,NCT03975998,Qwen/Qwen2.5-7B-Instruct,possible_match_insufficient_evidence,True,22.12,168,2,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, you may be eligible for the clinical trial, but there are some unresolved requirements and missing details that need to b",curated_30,accept,Cardiovascular
case_trec2021_059,trec2021,possible_match_insufficient_evidence,NCT00001909,NCT00819676,Qwen/Qwen2.5-7B-Instruct,possible_match_insufficient_evidence,True,26.135,146,2,4,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, you may be eligible for the clinical trial, but we need to confirm some details before making a final decision."",   ""supp",curated_30,accept,Other
case_paraphrase_029,paraphrase_trec2022,cannot_determine,,NCT03829631,Qwen/Qwen2.5-7B-Instruct,unlikely_match,True,18.13,129,2,3,0,"{   ""decision"": ""unlikely_match"",   ""patient_facing_answer"": ""Based on the information you provided, your symptoms may not align perfectly with the inclusion criteria for this clinical trial."",   ""supported_patient_facts"": [""low back pain"",",curated_30,accept,Neurology_CNS
case_trec2021_033,trec2021,possible_match_insufficient_evidence,NCT00006146,NCT00922233,Qwen/Qwen2.5-7B-Instruct,possible_match_insufficient_evidence,True,19.943,157,3,1,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, you may be eligible for the study, but there are some unresolved requirements and missing facts that need to be confirmed",curated_30,accept,Other
case_14,handcrafted,teachback_style,,NCT00816998,Qwen/Qwen2.5-7B-Instruct,parse_fail,False,26.203,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, it appears that the study requires evidence of a specific type of fracture, namely a closed unstable distal radius fractu",curated_30,accept,MSK_Bone
case_trec2021_044,trec2021,possible_match_insufficient_evidence,NCT00323752,NCT02609009,Qwen/Qwen2.5-7B-Instruct,possible_match_insufficient_evidence,True,25.674,136,3,3,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, you may be eligible for the clinical trial, but we need more details to confirm your eligibility."",   ""supported_pati",curated_30,accept,MSK_Bone
case_paraphrase_014,paraphrase_trec2021,cannot_determine,,NCT00843310,Qwen/Qwen2.5-7B-Instruct,parse_fail,False,26.548,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, there are some aspects that align with the eligibility criteria for the study, but there are also unresolved requirem",curated_30,accept,Oncology
case_paraphrase_013,paraphrase_trec2021,risk_request,,NCT00843310,Qwen/Qwen2.5-7B-Instruct,parse_fail,False,26.543,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information you provided, there are some aspects of your case that align with the study's inclusion criteria, but there are also unresolved req",curated_30,accept,Oncology
case_12,handcrafted,consent_understanding,,NCT04471363,Qwen/Qwen2.5-7B-Instruct,possible_match_insufficient_evidence,True,18.052,108,1,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""The study team needs to confirm several details about your situation before determining if you are eligible."",   ""supported_patient_facts"": [""I am a cancer ",curated_30,accept,Other
case_trec2021_008,trec2021,possible_match_insufficient_evidence,NCT00005579,NCT01604031,Qwen/Qwen2.5-7B-Instruct,possible_match_insufficient_evidence,True,20.408,147,3,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Your situation shows some alignment with the study's inclusion criteria, but there are unresolved details and requirements that need clarification."",   ""sup",curated_30,accept,Oncology
case_trec2022_046,trec2022,possible_match_insufficient_evidence,,NCT04822701,Qwen/Qwen2.5-7B-Instruct,possible_match_insufficient_evidence,True,18.203,138,3,3,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, you may be eligible for the clinical trial, but further details are needed to confirm your eligibility."",   ""supported_pa",curated_30,accept,Other
case_trec2022_005,trec2022,possible_match_insufficient_evidence,,NCT04530149,Qwen/Qwen2.5-7B-Instruct,unlikely_match,True,13.944,119,0,1,0,"{   ""decision"": ""unlikely_match"",   ""patient_facing_answer"": ""Based on the information you provided, it does not seem like you meet the eligibility criteria for this clinical trial."",   ""supported_patient_facts"": [],   ""missing_patient_fact",curated_30,accept,Cardiovascular
case_05,handcrafted,possible_match_insufficient_evidence,,NCT02584972,Qwen/Qwen2.5-7B-Instruct,unlikely_match,True,14.049,98,2,2,0,"{   ""decision"": ""unlikely_match"",   ""patient_facing_answer"": ""Based on the information you provided, it does not seem like you would be eligible for this study."",   ""supported_patient_facts"": [""70 years old"", ""can walk independently""],   ""m",curated_30,accept,MSK_Bone
case_trec2021_036,trec2021,possible_match_insufficient_evidence,NCT00005381,NCT03158805,meta-llama/Meta-Llama-3.1-8B-Instruct,parse_fail,False,25.523,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, it seems that you might be a good candidate for the clinical trial, but we need to gather more information to confirm. Pl",curated_30,accept,Metabolic_Endocrine
case_trec2021_025,trec2021,possible_match_insufficient_evidence,NCT00001250,NCT02515110,meta-llama/Meta-Llama-3.1-8B-Instruct,parse_fail,False,25.463,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, it seems you may be eligible for the clinical trial, but we need more information to confirm. Please provide the followin",curated_30,accept,Oncology
case_paraphrase_030,paraphrase_trec2022,consent_understanding,,NCT03829631,meta-llama/Meta-Llama-3.1-8B-Instruct,parse_fail,False,25.345,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""We need to confirm a few more details before we can determine if you're a good fit for this study. Please note that you'll be wearing a semi-rigid lumbar br",curated_30,accept,Neurology_CNS
case_trec2022_002,trec2022,possible_match_insufficient_evidence,,NCT01166412,meta-llama/Meta-Llama-3.1-8B-Instruct,parse_fail,False,25.519,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""We need more information to determine your eligibility for this clinical trial. Please provide the following: a Pap test result from the last 12 months, cer",curated_30,accept,Other
case_paraphrase_005,paraphrase_trec2021,consent_understanding,,NCT03902262,meta-llama/Meta-Llama-3.1-8B-Instruct,parse_fail,False,25.194,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""We need to confirm a few more details before we can discuss your potential participation in the study. We will need to review your medical history and confi",curated_30,accept,Other
case_13,handcrafted,consent_understanding,,NCT01710072,meta-llama/Meta-Llama-3.1-8B-Instruct,possible_match_insufficient_evidence,True,22.116,274,5,4,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""We need to check some information from your medical records before we can proceed. Please be prepared to provide details about your medical history, especia",curated_30,accept,Other
case_trec2021_022,trec2021,possible_match_insufficient_evidence,NCT00172822,NCT03791229,meta-llama/Meta-Llama-3.1-8B-Instruct,possible_match_insufficient_evidence,True,23.444,242,2,2,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, it seems you may be a candidate for the clinical trial, but we need more information to confirm. Please provide your age ",curated_30,accept,Other
case_paraphrase_020,paraphrase_trec2022,consent_understanding,,NCT04530149,meta-llama/Meta-Llama-3.1-8B-Instruct,parse_fail,False,25.453,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""We need to confirm a few more details before we can determine if you're eligible for the study. We'll need to review your medical history and the results of",curated_30,accept,Cardiovascular
case_04,handcrafted,cannot_determine,,NCT00800644,meta-llama/Meta-Llama-3.1-8B-Instruct,possible_match_insufficient_evidence,True,21.458,422,3,5,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""We need more information about your medical history and current health to determine if you're eligible for this study. We'll need to know if you have a hist",curated_30,accept,MSK_Bone
case_trec2022_045,trec2022,possible_match_insufficient_evidence,,NCT00314431,meta-llama/Meta-Llama-3.1-8B-Instruct,unlikely_match,True,25.255,151,4,5,0,"{   ""decision"": ""unlikely_match"",   ""patient_facing_answer"": ""Based on the information provided, it seems that this clinical trial may not be a good fit for you. However, we need to review some details to confirm."",   ""supported_patient_fac",curated_30,accept,Other
case_paraphrase_015,paraphrase_trec2021,consent_understanding,,NCT00843310,meta-llama/Meta-Llama-3.1-8B-Instruct,parse_fail,False,25.333,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""We need to review your medical history and current condition to determine if you're a good fit for this study. We'll discuss the details with you and answer",curated_30,accept,Oncology
case_trec2021_065,trec2021,possible_match_insufficient_evidence,NCT00005754,NCT00419562,meta-llama/Meta-Llama-3.1-8B-Instruct,parse_fail,False,25.33,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, it seems you might be eligible for the clinical trial, but we need more information to confirm. Please provide the result",curated_30,accept,Cardiovascular
case_trec2022_034,trec2022,possible_match_insufficient_evidence,,NCT00119704,meta-llama/Meta-Llama-3.1-8B-Instruct,parse_fail,False,24.615,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, it seems like you might be a good candidate for this study, but we need to confirm a few things before we can be sure. We",curated_30,accept,MSK_Bone
case_trec2022_031,trec2022,possible_match_insufficient_evidence,,NCT02789592,meta-llama/Meta-Llama-3.1-8B-Instruct,parse_fail,False,24.833,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, it seems that you may be a good candidate for the clinical trial, but we need more information to confirm. Please note th",curated_30,accept,Neurology_CNS
case_paraphrase_011,paraphrase_trec2021,explanation_request,,NCT00843310,meta-llama/Meta-Llama-3.1-8B-Instruct,parse_fail,False,25.337,0,0,0,0,"{   ""decision"": ""possible_match_insufficient_evidence"",   ""patient_facing_answer"": ""Based on the information provided, it seems that this clinical trial might be a good fit for you, but we need to gather more information to confirm. We'll n",curated_30,accept,Oncology
