path,case_id,backbone,baseline_id,n_dropped,is_consensus_flagged
outputs/backbone_gens/Qwen__Qwen2.5-7B-Instruct/case_trec2021_059.json,case_trec2021_059,Qwen/Qwen2.5-7B-Instruct,V-final,4,False
outputs/backbone_gens/Qwen__Qwen2.5-7B-Instruct/case_trec2021_065.json,case_trec2021_065,Qwen/Qwen2.5-7B-Instruct,V-final,0,False
outputs/backbone_gens/Qwen__Qwen2.5-7B-Instruct/case_trec2022_002.json,case_trec2022_002,Qwen/Qwen2.5-7B-Instruct,V-final,2,False
outputs/backbone_gens/Qwen__Qwen2.5-7B-Instruct/case_trec2022_005.json,case_trec2022_005,Qwen/Qwen2.5-7B-Instruct,V-final,1,False
outputs/backbone_gens/Qwen__Qwen2.5-7B-Instruct/case_trec2022_031.json,case_trec2022_031,Qwen/Qwen2.5-7B-Instruct,V-final,0,False
outputs/backbone_gens/Qwen__Qwen2.5-7B-Instruct/case_trec2022_034.json,case_trec2022_034,Qwen/Qwen2.5-7B-Instruct,V-final,2,False
outputs/backbone_gens/Qwen__Qwen2.5-7B-Instruct/case_trec2022_042.json,case_trec2022_042,Qwen/Qwen2.5-7B-Instruct,V-final,0,False
outputs/backbone_gens/Qwen__Qwen2.5-7B-Instruct/case_trec2022_045.json,case_trec2022_045,Qwen/Qwen2.5-7B-Instruct,V-final,0,False
outputs/backbone_gens/Qwen__Qwen2.5-7B-Instruct/case_trec2022_046.json,case_trec2022_046,Qwen/Qwen2.5-7B-Instruct,V-final,0,False
outputs/backbone_gens/meta-llama__Meta-Llama-3.1-8B-Instruct/case_01.json,case_01,meta-llama/Meta-Llama-3.1-8B-Instruct,V-final,0,False
outputs/backbone_gens/meta-llama__Meta-Llama-3.1-8B-Instruct/case_04.json,case_04,meta-llama/Meta-Llama-3.1-8B-Instruct,V-final,3,False
outputs/backbone_gens/meta-llama__Meta-Llama-3.1-8B-Instruct/case_05.json,case_05,meta-llama/Meta-Llama-3.1-8B-Instruct,V-final,4,False
outputs/backbone_gens/meta-llama__Meta-Llama-3.1-8B-Instruct/case_12.json,case_12,meta-llama/Meta-Llama-3.1-8B-Instruct,V-final,3,False
outputs/backbone_gens/meta-llama__Meta-Llama-3.1-8B-Instruct/case_13.json,case_13,meta-llama/Meta-Llama-3.1-8B-Instruct,V-final,3,False
outputs/backbone_gens/meta-llama__Meta-Llama-3.1-8B-Instruct/case_14.json,case_14,meta-llama/Meta-Llama-3.1-8B-Instruct,V-final,0,False
outputs/backbone_gens/meta-llama__Meta-Llama-3.1-8B-Instruct/case_paraphrase_005.json,case_paraphrase_005,meta-llama/Meta-Llama-3.1-8B-Instruct,V-final,0,False
outputs/backbone_gens/meta-llama__Meta-Llama-3.1-8B-Instruct/case_paraphrase_011.json,case_paraphrase_011,meta-llama/Meta-Llama-3.1-8B-Instruct,V-final,0,False
outputs/backbone_gens/meta-llama__Meta-Llama-3.1-8B-Instruct/case_paraphrase_013.json,case_paraphrase_013,meta-llama/Meta-Llama-3.1-8B-Instruct,V-final,0,False
outputs/backbone_gens/meta-llama__Meta-Llama-3.1-8B-Instruct/case_paraphrase_014.json,case_paraphrase_014,meta-llama/Meta-Llama-3.1-8B-Instruct,V-final,0,False
outputs/backbone_gens/meta-llama__Meta-Llama-3.1-8B-Instruct/case_paraphrase_015.json,case_paraphrase_015,meta-llama/Meta-Llama-3.1-8B-Instruct,V-final,0,False
outputs/backbone_gens/meta-llama__Meta-Llama-3.1-8B-Instruct/case_paraphrase_020.json,case_paraphrase_020,meta-llama/Meta-Llama-3.1-8B-Instruct,V-final,0,False
outputs/backbone_gens/meta-llama__Meta-Llama-3.1-8B-Instruct/case_paraphrase_029.json,case_paraphrase_029,meta-llama/Meta-Llama-3.1-8B-Instruct,V-final,2,False
outputs/backbone_gens/meta-llama__Meta-Llama-3.1-8B-Instruct/case_paraphrase_030.json,case_paraphrase_030,meta-llama/Meta-Llama-3.1-8B-Instruct,V-final,0,False
outputs/backbone_gens/meta-llama__Meta-Llama-3.1-8B-Instruct/case_trec2021_008.json,case_trec2021_008,meta-llama/Meta-Llama-3.1-8B-Instruct,V-final,2,False
outputs/backbone_gens/meta-llama__Meta-Llama-3.1-8B-Instruct/case_trec2021_012.json,case_trec2021_012,meta-llama/Meta-Llama-3.1-8B-Instruct,V-final,0,False
outputs/backbone_gens/meta-llama__Meta-Llama-3.1-8B-Instruct/case_trec2021_022.json,case_trec2021_022,meta-llama/Meta-Llama-3.1-8B-Instruct,V-final,3,False
outputs/backbone_gens/meta-llama__Meta-Llama-3.1-8B-Instruct/case_trec2021_025.json,case_trec2021_025,meta-llama/Meta-Llama-3.1-8B-Instruct,V-final,0,False
outputs/backbone_gens/meta-llama__Meta-Llama-3.1-8B-Instruct/case_trec2021_033.json,case_trec2021_033,meta-llama/Meta-Llama-3.1-8B-Instruct,V-final,0,False
outputs/backbone_gens/meta-llama__Meta-Llama-3.1-8B-Instruct/case_trec2021_036.json,case_trec2021_036,meta-llama/Meta-Llama-3.1-8B-Instruct,V-final,0,False
outputs/backbone_gens/meta-llama__Meta-Llama-3.1-8B-Instruct/case_trec2021_044.json,case_trec2021_044,meta-llama/Meta-Llama-3.1-8B-Instruct,V-final,0,False
outputs/backbone_gens/meta-llama__Meta-Llama-3.1-8B-Instruct/case_trec2021_059.json,case_trec2021_059,meta-llama/Meta-Llama-3.1-8B-Instruct,V-final,0,False
outputs/backbone_gens/meta-llama__Meta-Llama-3.1-8B-Instruct/case_trec2021_065.json,case_trec2021_065,meta-llama/Meta-Llama-3.1-8B-Instruct,V-final,0,False
outputs/backbone_gens/meta-llama__Meta-Llama-3.1-8B-Instruct/case_trec2022_002.json,case_trec2022_002,meta-llama/Meta-Llama-3.1-8B-Instruct,V-final,0,False
outputs/backbone_gens/meta-llama__Meta-Llama-3.1-8B-Instruct/case_trec2022_005.json,case_trec2022_005,meta-llama/Meta-Llama-3.1-8B-Instruct,V-final,0,False
outputs/backbone_gens/meta-llama__Meta-Llama-3.1-8B-Instruct/case_trec2022_031.json,case_trec2022_031,meta-llama/Meta-Llama-3.1-8B-Instruct,V-final,0,False
outputs/backbone_gens/meta-llama__Meta-Llama-3.1-8B-Instruct/case_trec2022_034.json,case_trec2022_034,meta-llama/Meta-Llama-3.1-8B-Instruct,V-final,0,False
outputs/backbone_gens/meta-llama__Meta-Llama-3.1-8B-Instruct/case_trec2022_042.json,case_trec2022_042,meta-llama/Meta-Llama-3.1-8B-Instruct,V-final,0,False
outputs/backbone_gens/meta-llama__Meta-Llama-3.1-8B-Instruct/case_trec2022_045.json,case_trec2022_045,meta-llama/Meta-Llama-3.1-8B-Instruct,V-final,0,False
outputs/backbone_gens/meta-llama__Meta-Llama-3.1-8B-Instruct/case_trec2022_046.json,case_trec2022_046,meta-llama/Meta-Llama-3.1-8B-Instruct,V-final,0,False
outputs/backbone_gens/mistralai__Mistral-7B-Instruct-v0.3/case_01.json,case_01,mistralai/Mistral-7B-Instruct-v0.3,V-final,0,False
outputs/backbone_gens/mistralai__Mistral-7B-Instruct-v0.3/case_04.json,case_04,mistralai/Mistral-7B-Instruct-v0.3,V-final,3,False
outputs/backbone_gens/mistralai__Mistral-7B-Instruct-v0.3/case_05.json,case_05,mistralai/Mistral-7B-Instruct-v0.3,V-final,1,False
outputs/backbone_gens/mistralai__Mistral-7B-Instruct-v0.3/case_12.json,case_12,mistralai/Mistral-7B-Instruct-v0.3,V-final,2,False
outputs/backbone_gens/mistralai__Mistral-7B-Instruct-v0.3/case_13.json,case_13,mistralai/Mistral-7B-Instruct-v0.3,V-final,5,False
outputs/backbone_gens/mistralai__Mistral-7B-Instruct-v0.3/case_14.json,case_14,mistralai/Mistral-7B-Instruct-v0.3,V-final,0,False
outputs/backbone_gens/mistralai__Mistral-7B-Instruct-v0.3/case_paraphrase_005.json,case_paraphrase_005,mistralai/Mistral-7B-Instruct-v0.3,V-final,0,False
outputs/backbone_gens/mistralai__Mistral-7B-Instruct-v0.3/case_paraphrase_011.json,case_paraphrase_011,mistralai/Mistral-7B-Instruct-v0.3,V-final,0,False
outputs/backbone_gens/mistralai__Mistral-7B-Instruct-v0.3/case_paraphrase_013.json,case_paraphrase_013,mistralai/Mistral-7B-Instruct-v0.3,V-final,0,False
outputs/backbone_gens/mistralai__Mistral-7B-Instruct-v0.3/case_paraphrase_014.json,case_paraphrase_014,mistralai/Mistral-7B-Instruct-v0.3,V-final,0,False
outputs/backbone_gens/mistralai__Mistral-7B-Instruct-v0.3/case_paraphrase_015.json,case_paraphrase_015,mistralai/Mistral-7B-Instruct-v0.3,V-final,0,False
outputs/backbone_gens/mistralai__Mistral-7B-Instruct-v0.3/case_paraphrase_020.json,case_paraphrase_020,mistralai/Mistral-7B-Instruct-v0.3,V-final,0,False
outputs/backbone_gens/mistralai__Mistral-7B-Instruct-v0.3/case_paraphrase_029.json,case_paraphrase_029,mistralai/Mistral-7B-Instruct-v0.3,V-final,0,False
outputs/backbone_gens/mistralai__Mistral-7B-Instruct-v0.3/case_paraphrase_030.json,case_paraphrase_030,mistralai/Mistral-7B-Instruct-v0.3,V-final,0,False
outputs/backbone_gens/mistralai__Mistral-7B-Instruct-v0.3/case_trec2021_008.json,case_trec2021_008,mistralai/Mistral-7B-Instruct-v0.3,V-final,0,False
outputs/backbone_gens/mistralai__Mistral-7B-Instruct-v0.3/case_trec2021_012.json,case_trec2021_012,mistralai/Mistral-7B-Instruct-v0.3,V-final,1,False
outputs/backbone_gens/mistralai__Mistral-7B-Instruct-v0.3/case_trec2021_022.json,case_trec2021_022,mistralai/Mistral-7B-Instruct-v0.3,V-final,0,False
outputs/backbone_gens/mistralai__Mistral-7B-Instruct-v0.3/case_trec2021_025.json,case_trec2021_025,mistralai/Mistral-7B-Instruct-v0.3,V-final,0,False
outputs/backbone_gens/mistralai__Mistral-7B-Instruct-v0.3/case_trec2021_033.json,case_trec2021_033,mistralai/Mistral-7B-Instruct-v0.3,V-final,0,False
outputs/backbone_gens/mistralai__Mistral-7B-Instruct-v0.3/case_trec2021_036.json,case_trec2021_036,mistralai/Mistral-7B-Instruct-v0.3,V-final,0,False
outputs/backbone_gens/mistralai__Mistral-7B-Instruct-v0.3/case_trec2021_044.json,case_trec2021_044,mistralai/Mistral-7B-Instruct-v0.3,V-final,0,False
outputs/backbone_gens/mistralai__Mistral-7B-Instruct-v0.3/case_trec2021_059.json,case_trec2021_059,mistralai/Mistral-7B-Instruct-v0.3,V-final,0,False
outputs/backbone_gens/mistralai__Mistral-7B-Instruct-v0.3/case_trec2021_065.json,case_trec2021_065,mistralai/Mistral-7B-Instruct-v0.3,V-final,0,False
outputs/backbone_gens/mistralai__Mistral-7B-Instruct-v0.3/case_trec2022_002.json,case_trec2022_002,mistralai/Mistral-7B-Instruct-v0.3,V-final,0,False
outputs/backbone_gens/mistralai__Mistral-7B-Instruct-v0.3/case_trec2022_005.json,case_trec2022_005,mistralai/Mistral-7B-Instruct-v0.3,V-final,0,False
outputs/backbone_gens/mistralai__Mistral-7B-Instruct-v0.3/case_trec2022_031.json,case_trec2022_031,mistralai/Mistral-7B-Instruct-v0.3,V-final,0,False
outputs/backbone_gens/mistralai__Mistral-7B-Instruct-v0.3/case_trec2022_034.json,case_trec2022_034,mistralai/Mistral-7B-Instruct-v0.3,V-final,0,False
outputs/backbone_gens/mistralai__Mistral-7B-Instruct-v0.3/case_trec2022_042.json,case_trec2022_042,mistralai/Mistral-7B-Instruct-v0.3,V-final,0,False
outputs/backbone_gens/mistralai__Mistral-7B-Instruct-v0.3/case_trec2022_045.json,case_trec2022_045,mistralai/Mistral-7B-Instruct-v0.3,V-final,0,False
outputs/backbone_gens/mistralai__Mistral-7B-Instruct-v0.3/case_trec2022_046.json,case_trec2022_046,mistralai/Mistral-7B-Instruct-v0.3,V-final,0,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_02.json,case_02,Qwen/Qwen2.5-3B-Instruct,V-final,2,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_03.json,case_03,Qwen/Qwen2.5-3B-Instruct,V-final,1,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_06.json,case_06,Qwen/Qwen2.5-3B-Instruct,V-final,2,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_07.json,case_07,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_08.json,case_08,Qwen/Qwen2.5-3B-Instruct,V-final,2,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_09.json,case_09,Qwen/Qwen2.5-3B-Instruct,V-final,2,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_10.json,case_10,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_11.json,case_11,Qwen/Qwen2.5-3B-Instruct,V-final,1,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_15.json,case_15,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_001.json,case_paraphrase_001,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_002.json,case_paraphrase_002,Qwen/Qwen2.5-3B-Instruct,V-final,2,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_003.json,case_paraphrase_003,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_004.json,case_paraphrase_004,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_006.json,case_paraphrase_006,Qwen/Qwen2.5-3B-Instruct,V-final,2,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_007.json,case_paraphrase_007,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_008.json,case_paraphrase_008,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_009.json,case_paraphrase_009,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_010.json,case_paraphrase_010,Qwen/Qwen2.5-3B-Instruct,V-final,1,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_012.json,case_paraphrase_012,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_016.json,case_paraphrase_016,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_017.json,case_paraphrase_017,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_018.json,case_paraphrase_018,Qwen/Qwen2.5-3B-Instruct,V-final,1,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_019.json,case_paraphrase_019,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_021.json,case_paraphrase_021,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_022.json,case_paraphrase_022,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_023.json,case_paraphrase_023,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_024.json,case_paraphrase_024,Qwen/Qwen2.5-3B-Instruct,V-final,2,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_025.json,case_paraphrase_025,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_026.json,case_paraphrase_026,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_027.json,case_paraphrase_027,Qwen/Qwen2.5-3B-Instruct,V-final,1,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_028.json,case_paraphrase_028,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_031.json,case_paraphrase_031,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_032.json,case_paraphrase_032,Qwen/Qwen2.5-3B-Instruct,V-final,2,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_033.json,case_paraphrase_033,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_034.json,case_paraphrase_034,Qwen/Qwen2.5-3B-Instruct,V-final,3,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_paraphrase_035.json,case_paraphrase_035,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_trec2021_001.json,case_trec2021_001,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_trec2021_009.json,case_trec2021_009,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_trec2021_013.json,case_trec2021_013,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_trec2021_015.json,case_trec2021_015,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_trec2021_018.json,case_trec2021_018,Qwen/Qwen2.5-3B-Instruct,V-final,1,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_trec2021_019.json,case_trec2021_019,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_trec2021_026.json,case_trec2021_026,Qwen/Qwen2.5-3B-Instruct,V-final,4,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_trec2021_028.json,case_trec2021_028,Qwen/Qwen2.5-3B-Instruct,V-final,0,False
outputs/phase4/n100_expansion/gens/Qwen__Qwen2.5-3B-Instruct/case_trec2021_031.json,case_trec2021_031,Qwen/Qwen2.5-3B-Instruct,V-final,2,False
