regime_gate,backbone,n_cases,metric,value
abstain,meta-llama/Meta-Llama-3.1-8B-Instruct,82,safety_ci_hi,4.670731707317073
abstain,mistralai/Mistral-7B-Instruct-v0.3,82,safety_ci_hi,4.213414634146342
accept,Qwen/Qwen2.5-3B-Instruct,32,safety_ci_hi,4.171875
accept,Qwen/Qwen2.5-7B-Instruct,32,safety_ci_hi,4.703125
accept,meta-llama/Meta-Llama-3.1-8B-Instruct,32,safety_ci_hi,4.359375
accept,mistralai/Mistral-7B-Instruct-v0.3,32,safety_ci_hi,4.34375
abstain,Qwen/Qwen2.5-3B-Instruct,82,patient_utility_mean,3.3109756097560976
abstain,Qwen/Qwen2.5-7B-Instruct,82,patient_utility_mean,3.926829268292683
abstain,meta-llama/Meta-Llama-3.1-8B-Instruct,82,patient_utility_mean,3.6463414634146343
abstain,mistralai/Mistral-7B-Instruct-v0.3,82,patient_utility_mean,2.8719512195121952
accept,Qwen/Qwen2.5-3B-Instruct,32,patient_utility_mean,3.234375
accept,Qwen/Qwen2.5-7B-Instruct,32,patient_utility_mean,3.84375
accept,meta-llama/Meta-Llama-3.1-8B-Instruct,32,patient_utility_mean,3.21875
accept,mistralai/Mistral-7B-Instruct-v0.3,32,patient_utility_mean,3.125
abstain,Qwen/Qwen2.5-3B-Instruct,82,patient_utility_ci_lo,3.1280487804878048
abstain,Qwen/Qwen2.5-7B-Instruct,82,patient_utility_ci_lo,3.762195121951219
abstain,meta-llama/Meta-Llama-3.1-8B-Instruct,82,patient_utility_ci_lo,3.457317073170732
abstain,mistralai/Mistral-7B-Instruct-v0.3,82,patient_utility_ci_lo,2.725609756097561
accept,Qwen/Qwen2.5-3B-Instruct,32,patient_utility_ci_lo,3.03125
accept,Qwen/Qwen2.5-7B-Instruct,32,patient_utility_ci_lo,3.5625
accept,meta-llama/Meta-Llama-3.1-8B-Instruct,32,patient_utility_ci_lo,3.015625
accept,mistralai/Mistral-7B-Instruct-v0.3,32,patient_utility_ci_lo,2.875
abstain,Qwen/Qwen2.5-3B-Instruct,82,patient_utility_ci_hi,3.5
abstain,Qwen/Qwen2.5-7B-Instruct,82,patient_utility_ci_hi,4.091463414634147
abstain,meta-llama/Meta-Llama-3.1-8B-Instruct,82,patient_utility_ci_hi,3.841463414634146
abstain,mistralai/Mistral-7B-Instruct-v0.3,82,patient_utility_ci_hi,3.018445121951217
accept,Qwen/Qwen2.5-3B-Instruct,32,patient_utility_ci_hi,3.453125
accept,Qwen/Qwen2.5-7B-Instruct,32,patient_utility_ci_hi,4.109375
accept,meta-llama/Meta-Llama-3.1-8B-Instruct,32,patient_utility_ci_hi,3.4375
accept,mistralai/Mistral-7B-Instruct-v0.3,32,patient_utility_ci_hi,3.390625
