judge,case_id,backbone,semantic_leak
gpt4o,case_paraphrase_010,claude-sonnet-4-5-20250929,0
gpt4o,case_paraphrase_027,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_paraphrase_015,claude-sonnet-4-5-20250929,0
gpt4o,case_trec2022_020,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_trec2022_045,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_trec2022_014,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_trec2022_014,gpt-4o,0
gpt4o,case_trec2021_022,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2022_042,claude-sonnet-4-5-20250929,0
gpt4o,case_paraphrase_020,gpt-4o,0
gpt4o,case_12,claude-sonnet-4-5-20250929,0
gpt4o,case_13,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_paraphrase_012,claude-sonnet-4-5-20250929,0
gpt4o,case_trec2022_037,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_paraphrase_025,gpt-4o,0
gpt4o,case_trec2021_012,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_trec2021_028,Qwen__Qwen2.5-3B-Instruct,1
gpt4o,case_trec2022_018,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_trec2022_013,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_paraphrase_001,gpt-4o,0
gpt4o,case_paraphrase_014,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_trec2021_058,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_trec2021_035,claude-sonnet-4-5-20250929,0
gpt4o,case_04,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2021_019,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_paraphrase_020,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_03,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_trec2022_016,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_trec2021_036,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_09,gpt-4o,0
gpt4o,case_paraphrase_001,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_04,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_trec2022_033,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_trec2022_021,Qwen__Qwen2.5-3B-Instruct,1
gpt4o,case_trec2021_048,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_paraphrase_028,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_paraphrase_026,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_paraphrase_021,claude-sonnet-4-5-20250929,1
gpt4o,case_trec2022_031,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2021_033,claude-sonnet-4-5-20250929,0
gpt4o,case_trec2021_056,claude-sonnet-4-5-20250929,1
gpt4o,case_paraphrase_006,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2021_022,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_paraphrase_011,claude-sonnet-4-5-20250929,0
gpt4o,case_paraphrase_026,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_trec2022_018,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_trec2021_012,claude-sonnet-4-5-20250929,0
gpt4o,case_02,gpt-4o,0
gpt4o,case_trec2021_073,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_trec2021_015,Qwen__Qwen2.5-3B-Instruct,1
gpt4o,case_paraphrase_025,claude-sonnet-4-5-20250929,1
gpt4o,case_trec2021_001,meta-llama__Meta-Llama-3.1-8B-Instruct,1
gpt4o,case_paraphrase_032,gpt-4o,0
gpt4o,case_trec2021_059,gpt-4o,0
gpt4o,case_trec2021_061,Qwen__Qwen2.5-7B-Instruct,1
gpt4o,case_trec2021_018,Qwen__Qwen2.5-3B-Instruct,1
gpt4o,case_trec2022_006,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_paraphrase_034,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_trec2022_024,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_trec2022_012,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_paraphrase_006,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_paraphrase_032,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_trec2021_019,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_15,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_trec2022_007,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_paraphrase_003,gpt-4o,0
gpt4o,case_trec2022_026,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_paraphrase_030,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_trec2021_053,gpt-4o,0
gpt4o,case_04,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_paraphrase_033,gpt-4o,0
gpt4o,case_trec2021_012,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_trec2022_047,gpt-4o,0
gpt4o,case_trec2021_013,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_09,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_paraphrase_016,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_paraphrase_031,Qwen__Qwen2.5-7B-Instruct,1
gpt4o,case_trec2022_048,mistralai__Mistral-7B-Instruct-v0.3,1
gpt4o,case_paraphrase_005,claude-sonnet-4-5-20250929,0
gpt4o,case_trec2021_025,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_trec2022_047,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_07,claude-sonnet-4-5-20250929,0
gpt4o,case_trec2022_037,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_paraphrase_018,claude-sonnet-4-5-20250929,0
gpt4o,case_09,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_06,claude-sonnet-4-5-20250929,0
gpt4o,case_paraphrase_023,gpt-4o,0
gpt4o,case_04,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_trec2021_049,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2021_025,claude-sonnet-4-5-20250929,0
gpt4o,case_paraphrase_023,Qwen__Qwen2.5-7B-Instruct,1
gpt4o,case_trec2022_002,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2022_012,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_paraphrase_018,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_paraphrase_028,claude-sonnet-4-5-20250929,0
gpt4o,case_trec2021_065,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_paraphrase_025,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_paraphrase_010,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_trec2022_018,gpt-4o,0
gpt4o,case_trec2022_016,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_01,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_paraphrase_013,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_paraphrase_021,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_trec2021_059,mistralai__Mistral-7B-Instruct-v0.3,1
gpt4o,case_trec2022_003,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_paraphrase_002,claude-sonnet-4-5-20250929,0
gpt4o,case_10,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_paraphrase_035,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_11,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_paraphrase_019,claude-sonnet-4-5-20250929,0
gpt4o,case_trec2021_070,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_trec2021_015,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_09,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_trec2021_026,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_14,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_trec2022_005,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_paraphrase_023,mistralai__Mistral-7B-Instruct-v0.3,1
gpt4o,case_trec2021_031,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_trec2021_001,gpt-4o,0
gpt4o,case_paraphrase_013,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_paraphrase_026,claude-sonnet-4-5-20250929,0
gpt4o,case_trec2021_015,gpt-4o,0
gpt4o,case_paraphrase_002,gpt-4o,0
gpt4o,case_trec2021_022,gpt-4o,0
gpt4o,case_paraphrase_011,gpt-4o,0
gpt4o,case_paraphrase_019,mistralai__Mistral-7B-Instruct-v0.3,1
gpt4o,case_trec2022_045,claude-sonnet-4-5-20250929,0
gpt4o,case_trec2022_045,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_trec2022_003,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_trec2022_045,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_paraphrase_003,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_trec2022_012,gpt-4o,0
gpt4o,case_trec2021_034,gpt-4o,0
gpt4o,case_trec2021_044,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_paraphrase_019,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_paraphrase_022,Qwen__Qwen2.5-7B-Instruct,1
gpt4o,case_trec2022_048,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2022_032,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_paraphrase_013,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_trec2021_001,Qwen__Qwen2.5-7B-Instruct,1
gpt4o,case_paraphrase_010,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_paraphrase_017,gpt-4o,0
gpt4o,case_paraphrase_033,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_05,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2022_034,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_12,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_trec2022_004,claude-sonnet-4-5-20250929,0
gpt4o,case_trec2022_041,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_trec2021_001,claude-sonnet-4-5-20250929,1
gpt4o,case_paraphrase_016,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_trec2022_005,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_trec2021_015,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_paraphrase_002,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_trec2021_036,gpt-4o,0
gpt4o,case_paraphrase_020,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2022_033,claude-sonnet-4-5-20250929,0
gpt4o,case_trec2022_037,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_paraphrase_024,claude-sonnet-4-5-20250929,0
gpt4o,case_trec2022_050,claude-sonnet-4-5-20250929,0
gpt4o,case_07,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2022_046,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_paraphrase_033,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_trec2021_034,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_trec2022_003,claude-sonnet-4-5-20250929,0
gpt4o,case_trec2022_018,claude-sonnet-4-5-20250929,0
gpt4o,case_05,claude-sonnet-4-5-20250929,1
gpt4o,case_trec2021_001,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_06,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_trec2021_026,claude-sonnet-4-5-20250929,1
gpt4o,case_paraphrase_029,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_trec2021_025,gpt-4o,0
gpt4o,case_09,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_paraphrase_022,gpt-4o,0
gpt4o,case_trec2022_033,gpt-4o,0
gpt4o,case_14,claude-sonnet-4-5-20250929,0
gpt4o,case_paraphrase_013,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_paraphrase_007,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_trec2022_008,gpt-4o,0
gpt4o,case_trec2022_050,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_paraphrase_017,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_trec2022_024,gpt-4o,0
gpt4o,case_trec2022_009,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_trec2022_030,gpt-4o,0
gpt4o,case_trec2021_057,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_trec2021_070,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_trec2021_022,claude-sonnet-4-5-20250929,0
gpt4o,case_trec2021_001,Qwen__Qwen2.5-3B-Instruct,1
gpt4o,case_paraphrase_022,claude-sonnet-4-5-20250929,0
gpt4o,case_trec2022_033,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_paraphrase_012,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_trec2021_065,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_paraphrase_007,gpt-4o,0
gpt4o,case_trec2022_034,claude-sonnet-4-5-20250929,0
gpt4o,case_trec2021_008,meta-llama__Meta-Llama-3.1-8B-Instruct,1
gpt4o,case_trec2021_008,gpt-4o,0
gpt4o,case_trec2022_002,claude-sonnet-4-5-20250929,0
gpt4o,case_trec2021_012,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_trec2021_028,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_trec2021_044,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_trec2022_006,claude-sonnet-4-5-20250929,0
gpt4o,case_paraphrase_005,meta-llama__Meta-Llama-3.1-8B-Instruct,1
gpt4o,case_paraphrase_019,gpt-4o,0
gpt4o,case_paraphrase_008,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_14,gpt-4o,0
gpt4o,case_trec2021_018,claude-sonnet-4-5-20250929,1
gpt4o,case_trec2021_009,gpt-4o,0
gpt4o,case_trec2022_016,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_trec2021_026,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_paraphrase_031,gpt-4o,0
gpt4o,case_paraphrase_012,gpt-4o,0
gpt4o,case_trec2021_013,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_trec2021_031,claude-sonnet-4-5-20250929,0
gpt4o,case_trec2022_021,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_trec2022_045,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_paraphrase_008,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_paraphrase_035,claude-sonnet-4-5-20250929,0
gpt4o,case_trec2022_037,gpt-4o,0
gpt4o,case_06,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2022_023,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_trec2021_031,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_trec2022_013,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_03,Qwen__Qwen2.5-7B-Instruct,1
gpt4o,case_trec2022_034,mistralai__Mistral-7B-Instruct-v0.3,1
gpt4o,case_trec2022_013,claude-sonnet-4-5-20250929,0
gpt4o,case_trec2022_026,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_07,gpt-4o,0
gpt4o,case_paraphrase_011,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_paraphrase_016,claude-sonnet-4-5-20250929,0
gpt4o,case_03,mistralai__Mistral-7B-Instruct-v0.3,1
gpt4o,case_trec2021_026,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_13,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_trec2022_002,gpt-4o,0
gpt4o,case_trec2022_006,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_paraphrase_020,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_paraphrase_006,gpt-4o,0
gpt4o,case_trec2022_008,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_trec2022_026,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2022_042,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_paraphrase_015,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_trec2022_012,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2021_022,mistralai__Mistral-7B-Instruct-v0.3,1
gpt4o,case_trec2021_042,gpt-4o,0
gpt4o,case_trec2021_018,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_15,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_trec2021_070,claude-sonnet-4-5-20250929,0
gpt4o,case_trec2022_031,gpt-4o,0
gpt4o,case_trec2022_026,claude-sonnet-4-5-20250929,0
gpt4o,case_trec2021_059,claude-sonnet-4-5-20250929,0
gpt4o,case_trec2021_049,gpt-4o,0
gpt4o,case_06,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_trec2021_042,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_trec2022_004,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2021_028,gpt-4o,0
gpt4o,case_paraphrase_002,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_07,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_trec2021_050,claude-sonnet-4-5-20250929,1
gpt4o,case_paraphrase_005,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2021_019,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_paraphrase_014,gpt-4o,1
gpt4o,case_trec2022_032,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_trec2022_005,gpt-4o,0
gpt4o,case_paraphrase_015,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_paraphrase_012,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2022_023,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2021_035,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_trec2022_018,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2022_047,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_trec2022_021,claude-sonnet-4-5-20250929,0
gpt4o,case_trec2021_044,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_03,Qwen__Qwen2.5-3B-Instruct,1
gpt4o,case_paraphrase_003,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2022_013,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_trec2022_002,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_trec2021_009,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_paraphrase_017,mistralai__Mistral-7B-Instruct-v0.3,1
gpt4o,case_trec2022_008,claude-sonnet-4-5-20250929,0
gpt4o,case_trec2022_014,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_10,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_13,gpt-4o,0
gpt4o,case_trec2021_065,claude-sonnet-4-5-20250929,1
gpt4o,case_trec2021_009,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_paraphrase_027,gpt-4o,0
gpt4o,case_trec2021_053,claude-sonnet-4-5-20250929,0
gpt4o,case_trec2022_041,gpt-4o,0
gpt4o,case_07,mistralai__Mistral-7B-Instruct-v0.3,1
gpt4o,case_trec2021_070,gpt-4o,0
gpt4o,case_trec2022_024,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_trec2022_048,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_trec2021_057,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_paraphrase_031,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_paraphrase_005,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_trec2022_034,gpt-4o,0
gpt4o,case_trec2022_047,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_trec2021_015,claude-sonnet-4-5-20250929,0
gpt4o,case_trec2022_003,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_trec2021_008,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_paraphrase_009,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_paraphrase_014,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_trec2021_049,claude-sonnet-4-5-20250929,0
gpt4o,case_trec2021_065,gpt-4o,0
gpt4o,case_paraphrase_010,gpt-4o,0
gpt4o,case_trec2022_004,gpt-4o,0
gpt4o,case_trec2022_030,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_trec2022_020,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_paraphrase_011,mistralai__Mistral-7B-Instruct-v0.3,1
gpt4o,case_11,claude-sonnet-4-5-20250929,0
gpt4o,case_15,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2021_058,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_trec2022_050,gpt-4o,0
gpt4o,case_paraphrase_025,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2021_047,claude-sonnet-4-5-20250929,0
gpt4o,case_paraphrase_031,claude-sonnet-4-5-20250929,1
gpt4o,case_trec2022_048,claude-sonnet-4-5-20250929,0
gpt4o,case_paraphrase_034,gpt-4o,0
gpt4o,case_trec2022_007,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_trec2022_030,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_trec2021_019,claude-sonnet-4-5-20250929,0
gpt4o,case_paraphrase_002,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_paraphrase_035,mistralai__Mistral-7B-Instruct-v0.3,0
gpt4o,case_trec2021_044,gpt-4o,0
gpt4o,case_trec2022_034,meta-llama__Meta-Llama-3.1-8B-Instruct,0
gpt4o,case_02,Qwen__Qwen2.5-3B-Instruct,1
gpt4o,case_paraphrase_025,meta-llama__Meta-Llama-3.1-8B-Instruct,1
gpt4o,case_12,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_08,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_paraphrase_022,Qwen__Qwen2.5-3B-Instruct,1
gpt4o,case_trec2021_047,Qwen__Qwen2.5-7B-Instruct,0
gpt4o,case_trec2021_026,Qwen__Qwen2.5-3B-Instruct,0
gpt4o,case_trec2021_009,claude-sonnet-4-5-20250929,0
gpt4o,case_paraphrase_004,meta-llama__Meta-Llama-3.1-8B-Instruct,0
