backbone,case_dir,selected_doc,narrow_leak,wide_leak
Qwen/Qwen2.5-7B-Instruct,case_paraphrase_032,NCT01634113,0,0
Qwen/Qwen2.5-7B-Instruct,case_paraphrase_033,NCT01634113,0,0
Qwen/Qwen2.5-7B-Instruct,case_paraphrase_034,NCT01634113,0,0
Qwen/Qwen2.5-7B-Instruct,case_paraphrase_035,NCT04322422,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2021_001,NCT01051557,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2021_009,NCT02899611,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2021_013,NCT02591901,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2021_015,NCT03358576,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2021_018,NCT04529369,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2021_019,NCT00487279,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2021_026,NCT04030741,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2021_028,NCT04342520,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2021_031,NCT00443313,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2021_034,NCT03529955,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2021_035,NCT04698525,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2021_042,NCT02411916,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2021_047,NCT02651272,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2021_048,NCT02411734,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2021_049,NCT01944475,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2021_050,NCT04821167,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2021_053,NCT02802449,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2021_056,NCT02952885,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2021_057,NCT04750044,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2021_058,NCT03902262,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2021_061,NCT02750826,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2021_070,NCT00922233,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2021_073,NCT02471573,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2022_003,NCT00689182,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2022_004,NCT00726492,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2022_006,NCT04233359,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2022_007,NCT04059185,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2022_008,NCT03197922,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2022_009,NCT04793035,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2022_012,NCT00188890,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2022_013,NCT02414295,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2022_014,NCT04326582,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2022_016,NCT04480190,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2022_018,NCT02346825,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2022_020,NCT03835351,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2022_021,NCT04671472,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2022_023,NCT03529955,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2022_024,NCT00135811,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2022_026,NCT01847690,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2022_027,NCT01518192,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2022_030,NCT04146649,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2022_032,NCT03570359,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2022_033,NCT03985540,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2022_037,NCT01419535,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2022_041,NCT00802698,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2022_047,NCT03529955,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2022_048,NCT03003533,0,0
Qwen/Qwen2.5-7B-Instruct,case_trec2022_050,NCT01921972,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_01,NCT00543023,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_04,NCT00800644,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_05,NCT02584972,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_12,NCT04471363,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_13,NCT01710072,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_14,NCT00816998,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_paraphrase_005,NCT03902262,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_paraphrase_011,NCT00843310,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_paraphrase_013,NCT00843310,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_paraphrase_014,NCT00843310,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_paraphrase_015,NCT00843310,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_paraphrase_020,NCT04530149,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_paraphrase_029,NCT03829631,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_paraphrase_030,NCT03829631,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2021_008,NCT01604031,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2021_012,NCT03975998,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2021_022,NCT03791229,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2021_025,NCT02515110,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2021_033,NCT00922233,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2021_036,NCT03158805,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2021_044,NCT02609009,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2021_059,NCT00819676,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2021_065,NCT00419562,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2022_002,NCT01166412,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2022_005,NCT04530149,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2022_031,NCT02789592,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2022_034,NCT00119704,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2022_042,NCT02638922,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2022_045,NCT00314431,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2022_046,NCT04822701,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_02,NCT01482130,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_03,NCT00865358,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_06,NCT02984384,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_07,NCT04660656,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_08,NCT01737242,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_09,NCT01645904,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_10,NCT02432339,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_11,NCT02830828,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_15,NCT00738998,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_paraphrase_001,NCT00413855,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_paraphrase_002,NCT03902262,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_paraphrase_003,NCT00413855,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_paraphrase_004,NCT03902262,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_paraphrase_006,NCT02855892,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_paraphrase_007,NCT02855892,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_paraphrase_008,NCT02855892,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_paraphrase_009,NCT02855892,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_paraphrase_010,NCT02855892,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_paraphrase_012,NCT01207765,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_paraphrase_016,NCT03876652,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_paraphrase_017,NCT04530149,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_paraphrase_018,NCT04530149,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_paraphrase_019,NCT04530149,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_paraphrase_021,NCT00921609,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_paraphrase_022,NCT00921609,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_paraphrase_023,NCT02629549,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_paraphrase_024,NCT02629549,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_paraphrase_025,NCT02629549,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_paraphrase_026,NCT03829631,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_paraphrase_027,NCT03829631,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_paraphrase_028,NCT03829631,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_paraphrase_031,NCT04322422,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_paraphrase_032,NCT01634113,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_paraphrase_033,NCT01634113,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_paraphrase_034,NCT01634113,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_paraphrase_035,NCT04322422,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2021_001,NCT01051557,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2021_009,NCT02899611,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2021_013,NCT02591901,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2021_015,NCT03358576,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2021_018,NCT04529369,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2021_019,NCT00487279,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2021_026,NCT04030741,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2021_028,NCT04342520,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2021_031,NCT00443313,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2021_034,NCT03529955,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2021_035,NCT04698525,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2021_042,NCT02411916,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2021_047,NCT02651272,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2021_048,NCT02411734,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2021_049,NCT01944475,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2021_050,NCT04821167,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2021_053,NCT02802449,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2021_056,NCT02952885,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2021_057,NCT04750044,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2021_058,NCT03902262,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2021_061,NCT02750826,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2021_070,NCT00922233,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2021_073,NCT02471573,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2022_003,NCT00689182,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2022_004,NCT00726492,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2022_006,NCT04233359,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2022_007,NCT04059185,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2022_008,NCT03197922,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2022_009,NCT04793035,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2022_012,NCT00188890,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2022_013,NCT02414295,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2022_014,NCT04326582,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2022_016,NCT04480190,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2022_018,NCT02346825,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2022_020,NCT03835351,0,0
meta-llama/Meta-Llama-3.1-8B-Instruct,case_trec2022_021,NCT04671472,0,0
