doc_id,title_len,condition_len,summary_len,detailed_description_len,eligibility_len
NCT00000171,57,0,779,1636,3841
NCT00000172,65,0,858,866,1371
NCT00000173,57,0,1273,2418,7840
NCT00000174,81,0,1211,0,6123
NCT00000175,65,0,432,395,566
NCT00000176,36,0,183,349,333
NCT00000177,25,0,648,0,429
NCT00000178,54,0,596,0,227
NCT00000179,32,0,902,0,336
NCT00000180,22,0,819,0,0
NCT00000187,49,0,122,0,65
NCT00000188,49,0,122,0,65
NCT00000189,58,0,154,0,65
NCT00000190,46,0,164,0,65
NCT00000191,50,0,125,0,65
NCT00000192,40,0,139,0,65
NCT00000193,40,0,148,0,65
NCT00000194,40,0,136,0,65
NCT00000195,40,0,168,0,65
NCT00000196,40,0,165,0,65
NCT00000197,50,0,152,0,65
NCT00000198,48,0,382,0,65
NCT00000199,58,0,196,0,65
NCT00000200,54,0,268,0,65
NCT00000201,49,0,171,0,65
NCT00000202,48,0,161,0,65
NCT00000203,48,0,140,0,65
NCT00000204,48,0,133,0,65
NCT00000205,38,0,108,0,550
NCT00000206,28,0,369,0,550
NCT00000207,47,0,99,143,555
NCT00000208,44,0,128,0,549
NCT00000209,33,0,226,0,549
NCT00000210,57,0,183,0,65
NCT00000211,57,0,183,0,65
NCT00000212,40,0,223,0,65
NCT00000213,40,0,211,0,65
NCT00000214,40,0,246,0,65
NCT00000215,40,0,243,0,65
NCT00000216,64,0,194,0,65
NCT00000217,57,0,228,0,65
NCT00000218,43,0,228,0,65
NCT00000219,39,0,180,0,65
NCT00000220,50,0,139,0,65
NCT00000221,55,0,191,0,65
NCT00000222,56,0,191,0,65
NCT00000223,56,0,193,0,65
NCT00000224,40,0,95,0,65
NCT00000225,56,0,192,0,65
NCT00000226,57,0,227,0,65
NCT00000227,58,0,105,0,65
NCT00000228,59,0,145,0,65
NCT00000229,60,0,156,0,65
NCT00000230,70,0,174,0,65
NCT00000231,69,0,304,0,65
NCT00000232,57,0,193,0,65
NCT00000233,56,0,189,0,65
NCT00000234,57,0,132,0,65
NCT00000235,58,0,164,0,65
NCT00000236,62,0,366,0,65
NCT00000237,41,0,221,0,65
NCT00000238,74,0,238,0,65
NCT00000239,62,0,150,0,65
NCT00000240,128,0,188,0,65
NCT00000241,53,0,274,0,65
NCT00000242,49,0,170,0,65
NCT00000243,106,0,356,752,191
NCT00000244,49,0,302,159,199
NCT00000245,56,0,148,0,65
NCT00000246,56,0,174,0,65
NCT00000248,59,0,142,0,65
NCT00000249,60,0,400,0,65
NCT00000250,71,0,415,0,65
NCT00000251,71,0,446,0,65
NCT00000252,67,0,452,0,65
NCT00000253,54,0,445,0,65
NCT00000254,46,0,443,0,65
NCT00000255,72,0,391,0,65
NCT00000256,59,0,486,0,65
NCT00000257,58,0,538,0,65
NCT00000258,61,0,481,0,65
NCT00000259,76,0,531,0,65
NCT00000260,68,0,542,0,65
NCT00000261,75,0,326,0,65
NCT00000262,65,0,201,0,65
NCT00000263,57,0,205,0,65
NCT00000264,72,0,188,0,65
NCT00000265,59,0,184,0,65
NCT00000266,59,0,190,0,65
NCT00000267,57,0,189,0,65
NCT00000268,48,0,106,159,175
NCT00000269,45,0,129,0,65
NCT00000270,59,0,142,0,65
NCT00000271,51,0,156,578,1947
NCT00000273,51,0,253,646,1256
NCT00000274,74,0,206,0,65
NCT00000275,27,0,220,0,65
NCT00000276,49,0,109,0,105
NCT00000277,30,0,107,0,65
NCT00000278,40,0,99,0,65
NCT00000279,47,0,106,0,65
NCT00000280,42,0,101,0,65
NCT00000281,48,0,145,0,65
NCT00000282,30,0,106,0,65
NCT00000284,50,0,176,654,1508
NCT00000285,49,0,140,1005,1165
NCT00000286,64,0,179,204,296
NCT00000287,44,0,143,217,323
NCT00000288,50,0,144,574,1513
NCT00000289,50,0,178,740,1771
NCT00000290,41,0,154,981,851
NCT00000291,45,0,159,866,918
NCT00000292,40,0,143,1163,1134
NCT00000293,66,0,190,330,450
NCT00000294,51,0,103,1014,823
NCT00000295,45,0,103,1174,1197
NCT00000296,51,0,176,766,1775
NCT00000297,62,0,132,945,952
NCT00000298,48,0,335,0,560
NCT00000299,76,0,297,0,561
NCT00000300,50,0,469,349,764
NCT00000301,76,0,286,188,557
NCT00000302,64,0,106,276,622
NCT00000303,74,0,283,182,640
NCT00000304,56,0,197,0,65
NCT00000305,41,0,137,0,65
NCT00000306,69,0,181,899,1218
NCT00000307,65,0,172,0,65
NCT00000308,53,0,148,0,65
NCT00000309,54,0,206,0,65
NCT00000310,54,0,206,260,182
NCT00000311,59,0,492,0,65
NCT00000312,60,0,246,0,65
NCT00000313,61,0,130,0,65
NCT00000314,45,0,135,0,65
NCT00000315,58,0,299,0,65
NCT00000316,58,0,299,0,65
NCT00000317,60,0,553,1608,1450
NCT00000318,65,0,153,0,65
NCT00000319,65,0,195,0,65
NCT00000320,72,0,280,232,508
NCT00000321,57,0,169,0,65
NCT00000322,43,0,308,267,441
NCT00000323,58,0,140,0,185
NCT00000324,53,0,192,268,306
NCT00000325,54,0,160,0,65
NCT00000326,71,0,288,270,714
NCT00000327,74,0,367,400,707
NCT00000328,74,0,185,55,740
NCT00000329,74,0,246,71,785
NCT00000330,74,0,217,47,751
NCT00000331,74,0,241,47,737
NCT00000332,42,0,241,0,65
NCT00000333,49,0,197,0,65
NCT00000334,45,0,168,0,65
NCT00000335,55,0,422,0,65
NCT00000336,61,0,301,0,495
NCT00000337,48,0,339,643,502
NCT00000338,46,0,323,0,501
NCT00000339,49,0,280,0,501
NCT00000340,53,0,227,0,501
NCT00000341,49,0,183,0,500
NCT00000342,55,0,328,0,503
NCT00000343,49,0,412,195,503
NCT00000344,61,0,211,0,500
NCT00000345,64,0,141,0,500
NCT00000346,44,0,185,0,198
NCT00000347,67,0,184,0,502
NCT00000348,52,0,281,0,502
NCT00000349,51,0,452,0,502
NCT00000350,70,0,634,629,525
NCT00000351,52,0,193,193,227
NCT00000352,73,0,249,0,65
NCT00000353,57,0,211,0,65
NCT00000354,63,0,266,0,65
NCT00000355,59,0,171,0,65
NCT00000356,69,0,205,0,65
NCT00000357,51,0,156,0,65
NCT00000358,63,0,266,0,65
NCT00000359,58,0,1020,0,890
NCT00000361,33,0,740,0,1278
NCT00000362,93,0,1218,0,1093
NCT00000363,55,0,731,0,338
NCT00000367,36,0,1132,2420,251
NCT00000368,49,0,1717,1787,1251
NCT00000369,42,0,1157,1973,300
NCT00000370,26,0,1126,1952,147
NCT00000371,39,0,1909,1909,638
NCT00000372,42,0,1704,2202,570
NCT00000373,42,0,740,1119,1061
NCT00000374,41,0,196,1761,242
NCT00000375,115,0,1707,2549,168
NCT00000376,56,0,1867,1867,136
NCT00000377,55,0,835,1751,248
NCT00000378,52,0,1234,2027,410
NCT00000379,65,0,1031,2518,142
NCT00000380,84,0,713,1997,218
NCT00000381,31,0,1237,1698,394
NCT00000382,33,0,1322,1272,345
NCT00000383,78,0,1040,1714,832
NCT00000384,60,0,1407,1705,125
NCT00000385,59,0,177,1393,1068
NCT00000386,86,0,1466,2292,179
NCT00000387,52,0,1199,2119,245
NCT00000388,94,0,2264,2119,173
NCT00000389,33,0,1222,696,148
NCT00000390,52,0,890,890,663
NCT00000391,140,0,1589,0,2225
NCT00000392,98,0,562,0,4330
NCT00000393,123,0,1463,0,2125
NCT00000394,38,0,901,2121,2087
NCT00000395,37,0,635,2538,435
NCT00000396,55,0,1069,2704,189
NCT00000397,44,0,473,3304,624
NCT00000398,36,0,1073,1821,692
NCT00000399,31,0,920,3425,1383
NCT00000400,55,0,696,1400,440
NCT00000401,38,0,399,1430,1881
NCT00000402,38,0,899,926,412
NCT00000403,30,0,1060,1744,2638
NCT00000404,41,0,1070,2569,1514
NCT00000405,35,0,995,2318,337
NCT00000406,51,0,874,1663,392
NCT00000407,42,0,808,1967,361
NCT00000408,42,0,785,808,1469
NCT00000409,98,0,762,2727,2030
NCT00000410,78,0,670,2743,1854
NCT00000411,62,0,926,2729,2015
NCT00000412,46,0,1068,1874,688
NCT00000413,46,0,667,1833,772
NCT00000414,60,0,658,1983,219
NCT00000415,48,0,1176,2882,479
NCT00000416,47,0,1019,1713,400
NCT00000417,53,0,779,977,397
NCT00000418,46,0,522,1795,487
NCT00000419,57,0,396,1530,1123
NCT00000420,49,0,491,2229,1217
NCT00000421,68,0,1420,2318,436
NCT00000422,35,0,1094,2162,433
NCT00000423,33,0,846,1578,768
NCT00000424,35,0,787,2191,1003
NCT00000425,40,0,772,2794,358
NCT00000426,46,0,574,671,351
NCT00000427,55,0,355,1951,718
NCT00000428,57,0,722,3476,851
NCT00000429,68,0,1216,4456,711
NCT00000430,69,0,838,3918,3161
NCT00000431,59,0,981,2665,1412
NCT00000432,31,0,1277,2346,187
NCT00000433,56,0,802,1463,967
NCT00000434,55,0,1325,1215,1400
NCT00000435,47,0,369,940,1416
NCT00000436,48,0,471,3388,891
NCT00000437,70,0,299,455,1485
NCT00000438,35,0,619,0,1580
NCT00000439,51,0,191,458,1598
NCT00000440,48,0,261,0,1281
NCT00000441,39,0,529,0,2919
NCT00000442,33,0,394,0,1137
NCT00000443,36,0,527,0,951
NCT00000444,68,0,510,0,1161
NCT00000445,39,0,585,0,1197
NCT00000446,65,0,529,0,1301
NCT00000447,83,0,575,0,1936
NCT00000448,40,0,465,767,1301
NCT00000449,48,0,517,0,801
NCT00000450,46,0,366,0,1415
NCT00000451,77,0,395,0,1527
NCT00000452,42,0,644,0,1449
NCT00000454,41,0,1011,0,1988
NCT00000455,37,0,956,0,1657
NCT00000456,49,0,876,0,2138
NCT00000457,54,0,465,838,2140
NCT00000458,56,0,437,0,2322
NCT00000459,45,0,206,4272,80
NCT00000460,32,0,151,2424,88
NCT00000461,52,0,536,4317,296
NCT00000462,57,0,353,9528,139
NCT00000463,46,0,378,6970,269
NCT00000464,83,0,184,3386,190
NCT00000465,45,0,221,5653,145
NCT00000466,54,0,674,5723,115
NCT00000467,60,0,298,13616,98
NCT00000468,60,0,428,7091,305
NCT00000469,48,0,294,3924,165
NCT00000470,75,0,244,4482,158
NCT00000471,21,0,171,1410,280
NCT00000472,52,0,850,7235,116
NCT00000473,58,0,254,5225,269
NCT00000474,54,0,202,1679,151
NCT00000475,76,0,176,4372,103
NCT00000476,35,0,170,1939,153
NCT00000477,48,0,302,5591,164
NCT00000478,48,0,161,3731,259
NCT00000479,143,0,202,3747,211
NCT00000480,49,0,248,2438,208
NCT00000481,63,0,576,1693,150
NCT00000482,21,0,880,2212,100
NCT00000483,44,0,187,1286,52
NCT00000484,25,0,210,817,133
NCT00000485,51,0,650,3445,192
NCT00000486,30,0,255,2082,141
NCT00000487,92,0,327,4416,193
NCT00000488,63,0,351,4344,109
NCT00000489,36,0,254,4317,87
NCT00000490,54,0,313,2402,115
NCT00000491,42,0,233,2847,98
NCT00000492,38,0,836,2943,92
NCT00000493,63,0,341,2010,169
NCT00000494,48,0,400,1888,205
NCT00000495,46,0,336,1618,101
NCT00000496,51,0,399,1967,105
NCT00000497,50,0,1015,1958,179
NCT00000498,50,0,233,1297,72
NCT00000499,65,0,1017,2467,150
NCT00000500,24,0,254,1578,275
NCT00000501,53,0,537,5924,252
NCT00000502,42,0,239,3636,156
NCT00000503,78,0,138,3142,199
NCT00000504,37,0,173,2284,113
NCT00000505,44,0,450,5656,98
NCT00000506,53,0,237,4740,115
NCT00000507,56,0,195,1761,108
NCT00000508,51,0,321,2015,166
NCT00000509,63,0,169,1813,208
NCT00000510,53,0,403,1589,69
NCT00000511,52,0,276,3236,136
NCT00000512,40,0,175,1892,458
NCT00000513,49,0,590,2130,214
NCT00000514,51,0,688,1533,97
NCT00000515,79,0,390,1899,266
NCT00000516,47,0,301,5467,166
NCT00000517,66,0,210,3176,109
NCT00000518,71,0,320,4027,133
NCT00000519,48,0,251,1366,175
NCT00000520,53,0,161,2795,213
NCT00000521,49,0,157,1687,152
NCT00000522,44,0,241,2485,294
NCT00000523,55,0,287,1630,236
NCT00000524,27,0,146,1421,143
NCT00000525,55,0,177,1195,307
NCT00000526,43,0,216,4280,157
NCT00000527,26,0,194,1267,93
NCT00000528,40,0,199,6520,173
NCT00000529,15,0,480,2347,435
NCT00000530,31,0,419,804,99
NCT00000531,56,0,328,5527,236
NCT00000532,76,0,423,2810,70
NCT00000533,49,0,146,2485,74
NCT00000534,43,0,542,3317,71
NCT00000535,57,0,292,2127,180
NCT00000536,39,0,186,1981,52
NCT00000537,56,0,238,2544,69
NCT00000538,65,0,151,6874,115
NCT00000539,58,0,331,5861,104
NCT00000540,47,0,224,3335,173
NCT00000541,64,0,455,932,171
NCT00000542,84,0,545,6629,131
NCT00000543,48,0,233,1837,70
NCT00000544,46,0,94,6398,138
NCT00000545,26,0,269,4413,108
NCT00000546,50,0,278,4031,52
NCT00000547,44,0,343,2174,295
NCT00000548,48,0,240,2473,356
NCT00000549,61,0,205,2436,92
NCT00000550,49,0,425,3329,76
NCT00000551,31,0,282,1941,138
NCT00000552,90,0,253,2775,92
NCT00000553,42,0,269,2548,249
NCT00000554,43,0,934,5524,96
NCT00000555,54,0,288,3097,193
NCT00000556,73,0,182,6196,110
NCT00000557,63,0,171,1971,263
NCT00000558,81,0,315,2322,203
NCT00000559,94,0,203,2600,143
NCT00000560,48,0,164,2303,527
NCT00000561,53,0,307,4891,68
NCT00000562,59,0,207,2348,160
NCT00000563,90,0,676,1608,170
NCT00000564,24,0,214,2314,154
NCT00000565,65,0,324,1795,140
NCT00000566,66,0,240,3157,141
NCT00000567,54,0,190,3514,262
NCT00000568,33,0,636,4406,104
NCT00000569,20,0,288,3686,676
NCT00000570,74,0,188,4174,120
NCT00000571,81,0,288,3315,52
NCT00000572,77,0,206,2971,1892
NCT00000573,53,0,273,3006,107
NCT00000574,25,0,241,5898,296
NCT00000575,107,0,308,5586,3184
NCT00000576,54,0,241,2629,289
NCT00000577,39,0,200,22932,101
NCT00000578,56,0,751,4976,54
NCT00000579,62,0,584,10236,369
NCT00000580,102,0,306,1877,140
NCT00000581,29,0,233,1936,302
NCT00000582,43,0,172,2141,86
NCT00000583,34,0,96,2066,206
NCT00000584,62,0,190,1431,245
NCT00000585,53,0,227,2717,295
NCT00000586,74,0,168,6101,338
NCT00000587,85,0,245,1790,52
NCT00000588,73,0,178,4954,296
NCT00000589,52,0,271,3452,181
NCT00000590,110,0,443,5174,138
NCT00000591,58,0,330,4748,52
NCT00000592,48,0,176,2868,137
NCT00000593,41,0,294,1719,136
NCT00000594,41,0,322,1338,102
NCT00000595,89,0,114,2665,101
NCT00000596,29,0,416,2218,52
NCT00000597,109,0,172,980,91
NCT00000598,42,0,320,2209,270
NCT00000599,49,0,535,3459,297
NCT00000600,76,0,193,2534,81
NCT00000601,49,0,149,2378,71
NCT00000602,53,0,150,3187,111
NCT00000603,50,0,716,5622,287
NCT00000604,46,0,395,1504,212
NCT00000605,57,0,235,1911,97
NCT00000606,41,0,462,4217,68
NCT00000607,102,0,260,3854,257
NCT00000608,66,0,471,5164,189
NCT00000609,54,0,196,2467,163
NCT00000610,31,0,160,16469,199
NCT00000611,31,0,817,7276,64
NCT00000612,36,0,250,2584,76
NCT00000613,57,0,253,1949,65
NCT00000614,56,0,204,4322,277
NCT00000615,49,0,253,4604,68
NCT00000616,59,0,230,2137,162
NCT00000617,45,0,191,3257,290
NCT00000619,104,0,450,7354,1034
NCT00000620,58,0,289,4895,1001
NCT00000621,59,0,413,6074,868
NCT00000623,62,0,441,5633,87
NCT00000625,162,0,264,489,1977
NCT00000626,99,0,945,1169,2251
NCT00000627,180,0,766,1297,4072
NCT00000628,77,0,527,698,2346
NCT00000629,105,0,861,1108,2193
NCT00000630,168,0,853,1364,2083
NCT00000631,190,0,963,832,1370
NCT00000632,96,0,473,574,1519
NCT00000633,158,0,1184,1482,2316
NCT00000634,80,0,762,654,2135
NCT00000635,139,0,900,995,1414
NCT00000636,142,0,915,1183,3341
NCT00000637,141,0,1054,1541,2636
NCT00000638,151,0,1357,1429,2997
NCT00000639,207,0,543,666,4395
NCT00000640,186,0,816,1231,3125
NCT00000641,178,0,1163,2284,3119
NCT00000642,183,0,1407,1207,4894
NCT00000643,70,0,584,1273,1845
NCT00000644,143,0,888,1511,4000
NCT00000645,114,0,559,739,2042
NCT00000646,109,0,332,563,2403
NCT00000647,239,0,792,1137,1318
NCT00000648,125,0,865,1130,2127
NCT00000649,206,0,1102,1479,3294
NCT00000650,104,0,435,497,4831
NCT00000651,196,0,1074,1285,3491
NCT00000652,153,0,562,833,2244
NCT00000653,186,0,869,409,5144
NCT00000654,95,0,1198,2632,3565
NCT00000655,157,0,612,1851,3080
NCT00000656,172,0,569,682,4690
NCT00000657,121,0,1089,843,5460
NCT00000658,150,0,1486,2197,2580
NCT00000659,94,0,1309,2466,2902
NCT00000660,71,0,1121,1627,2917
NCT00000661,100,0,574,662,2321
NCT00000662,98,0,408,627,2623
NCT00000663,153,0,646,757,2332
NCT00000664,136,0,758,2099,2244
NCT00000665,103,0,1696,1905,3282
NCT00000666,188,0,813,1012,2197
NCT00000667,218,0,1498,2365,2656
NCT00000668,84,0,1039,1191,3710
NCT00000669,161,0,759,1415,4604
NCT00000670,126,0,470,1173,2253
NCT00000671,176,0,1151,1447,5621
NCT00000672,159,0,2239,1854,5813
NCT00000673,159,0,1488,1382,1995
NCT00000674,119,0,1407,1718,4508
NCT00000675,182,0,1634,2644,1667
NCT00000676,202,0,1908,2611,2601
NCT00000677,111,0,1132,1389,2640
NCT00000678,206,0,1239,1501,3695
NCT00000679,145,0,609,769,6880
NCT00000680,167,0,1686,2427,3133
NCT00000681,151,0,1382,2770,2571
NCT00000682,162,0,894,1081,2841
NCT00000683,195,0,1687,3694,3675
NCT00000684,101,0,778,1016,2892
NCT00000685,67,0,885,2167,4062
NCT00000686,80,0,1510,1407,2891
NCT00000687,131,0,949,2044,2875
NCT00000688,128,0,480,840,2201
NCT00000689,162,0,989,1798,3614
NCT00000690,114,0,379,640,1401
NCT00000691,212,0,1422,2468,3609
NCT00000692,143,0,751,1923,2236
NCT00000693,124,0,1745,1761,2586
NCT00000694,188,0,1670,1998,3525
NCT00000695,146,0,1319,2100,2329
NCT00000696,178,0,1364,2687,5178
NCT00000697,123,0,1147,2382,4997
NCT00000698,125,0,872,1205,1464
NCT00000699,101,0,994,1212,2441
NCT00000700,172,0,538,498,2757
NCT00000701,134,0,770,754,4922
NCT00000702,201,0,804,1495,3200
NCT00000703,113,0,467,1539,2368
NCT00000704,123,0,538,1187,2992
NCT00000705,89,0,719,1552,1019
NCT00000706,77,0,577,918,878
NCT00000707,223,0,1147,1647,2972
NCT00000708,116,0,778,1397,3952
NCT00000709,124,0,1125,1155,4334
NCT00000710,154,0,673,991,3041
NCT00000711,146,0,1111,1049,3067
NCT00000712,178,0,1018,1525,4611
NCT00000713,146,0,862,1512,2350
NCT00000714,184,0,2279,2615,4676
NCT00000715,177,0,854,1464,3715
NCT00000716,105,0,724,821,6781
NCT00000717,142,0,857,1892,2893
NCT00000718,169,0,835,1606,5507
NCT00000719,114,0,1138,2523,5068
NCT00000720,143,0,1264,1626,4396
NCT00000721,93,0,1620,2168,2275
NCT00000722,209,0,947,1700,2471
NCT00000723,109,0,1297,1904,1922
NCT00000724,140,0,1065,2610,3977
NCT00000725,144,0,960,1625,2136
NCT00000726,106,0,1048,1382,1362
NCT00000727,202,0,993,1830,4004
NCT00000728,132,0,1191,1948,2911
NCT00000729,120,0,830,1731,3215
NCT00000730,74,0,1021,1526,3612
NCT00000731,66,0,663,1350,2608
NCT00000732,91,0,1015,1366,2341
NCT00000733,114,0,844,1196,2063
NCT00000734,92,0,984,1320,2497
NCT00000735,158,0,568,1251,1535
NCT00000736,75,0,737,1766,2391
NCT00000737,147,0,964,839,4772
NCT00000738,109,0,1152,1206,4655
NCT00000739,126,0,918,988,1773
NCT00000740,95,0,805,1355,1348
NCT00000741,129,0,295,442,873
NCT00000742,233,0,1123,1690,3155
NCT00000743,90,0,681,1175,2703
NCT00000744,163,0,581,595,1024
NCT00000745,164,0,409,647,2044
NCT00000746,213,0,1116,842,1806
NCT00000747,150,0,790,963,1927
NCT00000748,166,0,599,630,826
NCT00000749,185,0,382,489,1863
NCT00000750,149,0,808,967,1688
NCT00000751,219,0,831,1313,2834
NCT00000752,61,0,1055,1301,2512
NCT00000753,105,0,1002,1808,2753
NCT00000754,226,0,581,703,2548
NCT00000755,93,0,554,1024,2297
NCT00000756,183,0,689,1418,2196
NCT00000757,118,0,728,673,1827
NCT00000758,203,0,641,599,1983
NCT00000759,114,0,1295,2172,3646
NCT00000760,120,0,948,887,2585
NCT00000761,92,0,859,517,1666
NCT00000762,203,0,541,957,1911
NCT00000763,79,0,444,877,2859
NCT00000764,127,0,1132,1362,2821
NCT00000765,165,0,619,765,1375
NCT00000766,31,0,616,1210,1260
NCT00000767,173,0,1137,2115,3141
NCT00000768,173,0,858,1670,2583
NCT00000769,76,0,386,1183,3456
NCT00000770,143,0,598,625,3884
NCT00000771,163,0,492,893,2153
NCT00000772,153,0,603,542,2519
NCT00000773,156,0,820,1327,2263
NCT00000774,136,0,818,1776,1435
NCT00000775,95,0,556,828,1959
NCT00000776,40,0,600,720,2128
NCT00000777,203,0,684,858,1819
NCT00000778,189,0,860,1111,3367
NCT00000779,121,0,539,805,1636
NCT00000780,56,0,933,1095,439
NCT00000781,182,0,944,1250,3574
NCT00000782,103,0,994,1273,1841
NCT00000783,42,0,1044,1931,1601
NCT00000784,118,0,1068,1330,439
NCT00000785,45,0,893,1005,336
NCT00000787,68,0,289,664,629
NCT00000788,119,0,645,869,3164
NCT00000789,140,0,710,575,2047
NCT00000790,111,0,1125,556,2657
NCT00000791,102,0,624,762,3803
NCT00000792,117,0,559,1037,2626
NCT00000793,105,0,708,1484,4893
NCT00000794,154,0,746,2153,3140
NCT00000795,121,0,626,868,2045
NCT00000796,278,0,1182,1791,1477
NCT00000797,36,0,521,2249,1224
NCT00000798,140,0,709,890,2718
NCT00000799,57,0,296,677,2015
NCT00000800,54,0,592,1506,3905
NCT00000801,115,0,604,1517,2127
NCT00000802,177,0,719,492,1331
NCT00000803,169,0,629,557,4078
NCT00000804,187,0,192,0,0
NCT00000805,187,0,669,688,2094
NCT00000806,66,0,787,568,4695
NCT00000807,148,0,444,852,2024
NCT00000808,137,0,860,894,1733
NCT00000809,110,0,180,0,143
NCT00000810,120,0,846,686,3027
NCT00000811,104,0,643,2137,912
NCT00000812,150,0,749,1180,3619
NCT00000813,148,0,1053,1849,2961
NCT00000814,111,0,480,1281,1569
NCT00000815,204,0,967,949,1947
NCT00000816,105,0,672,673,2782
NCT00000817,171,0,587,788,2085
NCT00000818,194,0,872,719,1131
NCT00000819,147,0,725,627,3570
NCT00000820,232,0,1036,1208,3999
NCT00000821,96,0,627,551,986
NCT00000822,238,0,953,1998,4918
NCT00000823,199,0,425,909,1613
NCT00000824,72,0,669,798,911
NCT00000825,136,0,638,1189,979
NCT00000826,157,0,632,1056,5237
NCT00000827,97,0,527,506,2327
NCT00000828,104,0,559,681,949
NCT00000829,154,0,945,937,1754
NCT00000830,110,0,336,0,0
NCT00000831,85,0,1132,1326,2614
NCT00000832,206,0,313,367,2523
NCT00000833,100,0,773,1037,2435
NCT00000834,49,0,808,1509,2967
NCT00000835,140,0,777,1117,3254
NCT00000836,74,0,790,637,1479
NCT00000837,88,0,556,2138,1530
NCT00000838,107,0,616,1038,1604
NCT00000839,75,0,685,1181,2076
NCT00000840,115,0,721,815,1394
NCT00000841,133,0,530,2248,2709
NCT00000842,122,0,937,1275,3468
NCT00000843,75,0,768,1211,2011
NCT00000844,203,0,701,557,751
NCT00000845,127,0,225,564,3053
NCT00000846,250,0,347,552,2702
NCT00000847,149,0,651,1004,3205
NCT00000848,145,0,710,2104,3019
NCT00000849,88,0,727,1811,680
NCT00000850,92,0,801,2316,1285
NCT00000851,93,0,847,748,1871
NCT00000852,64,0,947,952,2096
NCT00000853,231,0,1178,1871,2976
NCT00000854,95,0,614,837,1340
NCT00000855,116,0,437,999,511
NCT00000856,122,0,1005,1816,3007
NCT00000857,149,0,705,3021,1356
NCT00000858,195,0,1024,1501,971
NCT00000859,243,0,1668,4126,2642
NCT00000860,100,0,1234,1868,3601
NCT00000861,72,0,1123,1552,2185
NCT00000862,78,0,1045,1717,1513
NCT00000863,100,0,246,221,2056
NCT00000864,167,0,827,2848,872
NCT00000865,125,0,730,1149,2074
NCT00000866,213,0,1387,1676,3152
NCT00000867,112,0,564,1454,935
NCT00000868,171,0,651,2457,1710
NCT00000869,89,0,513,2468,812
NCT00000870,222,0,1384,4968,7549
NCT00000871,160,0,1399,2436,2724
NCT00000872,103,0,422,3259,471
NCT00000873,100,0,532,2320,754
NCT00000874,195,0,1705,2747,4161
NCT00000875,159,0,1433,1451,1571
NCT00000876,61,0,912,2801,970
NCT00000877,158,0,872,3074,1040
NCT00000878,149,0,542,3747,1378
NCT00000879,88,0,823,2644,658
NCT00000880,98,0,549,1070,791
NCT00000881,80,0,1655,3422,4250
NCT00000882,189,0,2729,2584,3688
NCT00000883,158,0,1335,4788,1301
NCT00000884,174,0,1254,2401,3718
NCT00000885,144,0,2810,5238,6111
NCT00000886,156,0,1235,759,3281
NCT00000887,162,0,610,2797,1059
NCT00000888,117,0,775,2573,1374
NCT00000889,156,0,607,1276,884
NCT00000890,99,0,722,1816,1140
NCT00000891,178,0,802,3344,3685
