_key,baseline_id,s_leak,g_leak,s_tax,g_tax,consensus,either
B3_citation_enforced|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_020,B3_citation_enforced,1,1,T1,T1,1,1
B2_prompt_guard|Qwen__Qwen2.5-3B-Instruct|case_07,B2_prompt_guard,0,0,none,none,0,0
B4_top1|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_025,B4_top1,0,0,none,none,0,0
B2_prompt_guard|Qwen__Qwen2.5-3B-Instruct|case_trec2021_001,B2_prompt_guard,1,1,T1,T1,1,1
B2_prompt_guard|Qwen__Qwen2.5-3B-Instruct|case_paraphrase_029,B2_prompt_guard,0,1,none,T1,0,1
B2_prompt_guard|Qwen__Qwen2.5-3B-Instruct|case_trec2022_008,B2_prompt_guard,1,1,T1,T2,1,1
B1_multi_rag|Qwen__Qwen2.5-7B-Instruct|case_trec2022_027,B1_multi_rag,1,1,T1,T1,1,1
B1_multi_rag|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_022,B1_multi_rag,1,1,T1,T1,1,1
B4_top1|Qwen__Qwen2.5-3B-Instruct|case_trec2022_026,B4_top1,0,0,none,none,0,0
B4_top1|Qwen__Qwen2.5-3B-Instruct|case_trec2022_030,B4_top1,0,0,none,none,0,0
B1_multi_rag|Qwen__Qwen2.5-3B-Instruct|case_paraphrase_007,B1_multi_rag,0,0,none,none,0,0
B2_prompt_guard|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_017,B2_prompt_guard,0,1,none,T1,0,1
B3_citation_enforced|Qwen__Qwen2.5-7B-Instruct|case_03,B3_citation_enforced,1,1,T1,T1,1,1
B3_citation_enforced|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_014,B3_citation_enforced,1,1,T1,T1,1,1
B1_multi_rag|Qwen__Qwen2.5-7B-Instruct|case_trec2022_032,B1_multi_rag,1,1,T1,T2,1,1
B4_top1|Qwen__Qwen2.5-7B-Instruct|case_trec2022_021,B4_top1,0,0,none,none,0,0
B4_top1|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_030,B4_top1,0,0,T2,none,0,0
B4_top1|Qwen__Qwen2.5-3B-Instruct|case_paraphrase_015,B4_top1,0,0,none,none,0,0
B4_top1|Qwen__Qwen2.5-3B-Instruct|case_paraphrase_010,B4_top1,0,0,none,none,0,0
B4_top1|Qwen__Qwen2.5-3B-Instruct|case_trec2022_048,B4_top1,0,0,none,none,0,0
B3_citation_enforced|Qwen__Qwen2.5-7B-Instruct|case_trec2022_050,B3_citation_enforced,0,1,none,T2,0,1
B2_prompt_guard|Qwen__Qwen2.5-7B-Instruct|case_trec2021_053,B2_prompt_guard,0,0,none,none,0,0
B4_top1|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_021,B4_top1,0,0,none,none,0,0
B2_prompt_guard|Qwen__Qwen2.5-3B-Instruct|case_trec2021_019,B2_prompt_guard,0,1,none,T1,0,1
B1_multi_rag|Qwen__Qwen2.5-3B-Instruct|case_15,B1_multi_rag,0,1,none,T2,0,1
B4_top1|Qwen__Qwen2.5-3B-Instruct|case_paraphrase_013,B4_top1,0,0,none,none,0,0
B1_multi_rag|Qwen__Qwen2.5-7B-Instruct|case_trec2022_009,B1_multi_rag,1,1,T1,T1,1,1
B4_top1|Qwen__Qwen2.5-7B-Instruct|case_01,B4_top1,0,0,none,none,0,0
B4_top1|Qwen__Qwen2.5-7B-Instruct|case_11,B4_top1,0,0,none,none,0,0
B3_citation_enforced|Qwen__Qwen2.5-7B-Instruct|case_15,B3_citation_enforced,1,0,T1,none,0,1
B1_multi_rag|Qwen__Qwen2.5-3B-Instruct|case_trec2022_032,B1_multi_rag,0,0,none,none,0,0
B3_citation_enforced|Qwen__Qwen2.5-3B-Instruct|case_paraphrase_009,B3_citation_enforced,1,1,T1,T1,1,1
B2_prompt_guard|Qwen__Qwen2.5-3B-Instruct|case_trec2021_035,B2_prompt_guard,1,1,T1,T1,1,1
B3_citation_enforced|Qwen__Qwen2.5-3B-Instruct|case_trec2021_061,B3_citation_enforced,1,1,T1,T1,1,1
B2_prompt_guard|Qwen__Qwen2.5-3B-Instruct|case_trec2022_034,B2_prompt_guard,1,0,T1,none,0,1
B4_top1|Qwen__Qwen2.5-3B-Instruct|case_trec2022_042,B4_top1,0,1,T3,T3,0,1
B1_multi_rag|Qwen__Qwen2.5-3B-Instruct|case_trec2022_004,B1_multi_rag,1,1,T1,T1,1,1
B4_top1|Qwen__Qwen2.5-3B-Instruct|case_11,B4_top1,0,0,none,none,0,0
B3_citation_enforced|Qwen__Qwen2.5-3B-Instruct|case_trec2021_042,B3_citation_enforced,0,0,T2,none,0,0
B3_citation_enforced|Qwen__Qwen2.5-3B-Instruct|case_trec2022_026,B3_citation_enforced,1,1,T1,T1,1,1
B1_multi_rag|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_018,B1_multi_rag,1,1,T1,T1,1,1
B3_citation_enforced|Qwen__Qwen2.5-7B-Instruct|case_trec2022_012,B3_citation_enforced,0,1,none,T1,0,1
B3_citation_enforced|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_025,B3_citation_enforced,1,1,T1,T1,1,1
B4_top1|Qwen__Qwen2.5-7B-Instruct|case_trec2021_070,B4_top1,0,0,none,none,0,0
B3_citation_enforced|Qwen__Qwen2.5-3B-Instruct|case_trec2022_002,B3_citation_enforced,1,1,T1,T1,1,1
B1_multi_rag|Qwen__Qwen2.5-3B-Instruct|case_paraphrase_027,B1_multi_rag,1,1,T1,T1,1,1
B2_prompt_guard|Qwen__Qwen2.5-7B-Instruct|case_trec2022_032,B2_prompt_guard,0,0,none,none,0,0
B4_top1|Qwen__Qwen2.5-3B-Instruct|case_12,B4_top1,0,0,none,none,0,0
B4_top1|Qwen__Qwen2.5-3B-Instruct|case_trec2021_018,B4_top1,1,0,T2,none,0,1
B2_prompt_guard|Qwen__Qwen2.5-7B-Instruct|case_trec2022_045,B2_prompt_guard,0,0,none,none,0,0
B1_multi_rag|Qwen__Qwen2.5-7B-Instruct|case_trec2021_018,B1_multi_rag,1,1,T1,T1,1,1
B1_multi_rag|Qwen__Qwen2.5-3B-Instruct|case_paraphrase_030,B1_multi_rag,0,0,none,none,0,0
B4_top1|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_004,B4_top1,0,0,none,none,0,0
B3_citation_enforced|Qwen__Qwen2.5-3B-Instruct|case_trec2021_049,B3_citation_enforced,0,0,none,none,0,0
B1_multi_rag|Qwen__Qwen2.5-3B-Instruct|case_trec2021_047,B1_multi_rag,1,1,T1,T1,1,1
B3_citation_enforced|Qwen__Qwen2.5-7B-Instruct|case_trec2021_059,B3_citation_enforced,1,1,T1,T1,1,1
B1_multi_rag|Qwen__Qwen2.5-3B-Instruct|case_04,B1_multi_rag,1,1,T1,T1,1,1
B2_prompt_guard|Qwen__Qwen2.5-7B-Instruct|case_trec2021_025,B2_prompt_guard,0,1,none,T1,0,1
B3_citation_enforced|Qwen__Qwen2.5-3B-Instruct|case_paraphrase_002,B3_citation_enforced,0,1,none,T1,0,1
B4_top1|Qwen__Qwen2.5-3B-Instruct|case_03,B4_top1,0,0,none,none,0,0
B4_top1|Qwen__Qwen2.5-3B-Instruct|case_paraphrase_018,B4_top1,0,0,none,none,0,0
B4_top1|Qwen__Qwen2.5-7B-Instruct|case_trec2021_053,B4_top1,0,0,none,none,0,0
B1_multi_rag|Qwen__Qwen2.5-3B-Instruct|case_02,B1_multi_rag,0,1,none,T2,0,1
B1_multi_rag|Qwen__Qwen2.5-3B-Instruct|case_11,B1_multi_rag,1,1,T1,T1,1,1
B2_prompt_guard|Qwen__Qwen2.5-3B-Instruct|case_trec2022_013,B2_prompt_guard,1,1,T1,T1,1,1
B3_citation_enforced|Qwen__Qwen2.5-3B-Instruct|case_12,B3_citation_enforced,0,0,none,none,0,0
B3_citation_enforced|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_001,B3_citation_enforced,1,1,T1,T1,1,1
B4_top1|Qwen__Qwen2.5-7B-Instruct|case_15,B4_top1,0,0,none,none,0,0
B4_top1|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_012,B4_top1,0,0,none,none,0,0
B1_multi_rag|Qwen__Qwen2.5-3B-Instruct|case_trec2022_050,B1_multi_rag,1,0,T1,none,0,1
B4_top1|Qwen__Qwen2.5-3B-Instruct|case_paraphrase_024,B4_top1,0,0,T2,none,0,0
B3_citation_enforced|Qwen__Qwen2.5-3B-Instruct|case_06,B3_citation_enforced,1,1,T1,T1,1,1
B4_top1|Qwen__Qwen2.5-3B-Instruct|case_trec2022_004,B4_top1,0,0,none,none,0,0
B1_multi_rag|Qwen__Qwen2.5-3B-Instruct|case_07,B1_multi_rag,0,0,none,none,0,0
B1_multi_rag|Qwen__Qwen2.5-3B-Instruct|case_paraphrase_001,B1_multi_rag,1,1,T1,T1,1,1
B2_prompt_guard|Qwen__Qwen2.5-7B-Instruct|case_trec2021_033,B2_prompt_guard,0,0,none,none,0,0
B3_citation_enforced|Qwen__Qwen2.5-3B-Instruct|case_trec2021_044,B3_citation_enforced,0,1,none,T2,0,1
B4_top1|Qwen__Qwen2.5-3B-Instruct|case_paraphrase_033,B4_top1,1,0,T1,none,0,1
B2_prompt_guard|Qwen__Qwen2.5-7B-Instruct|case_trec2022_021,B2_prompt_guard,1,1,T1,T1,1,1
B4_top1|Qwen__Qwen2.5-3B-Instruct|case_paraphrase_019,B4_top1,0,0,T3,none,0,0
B4_top1|Qwen__Qwen2.5-7B-Instruct|case_trec2022_018,B4_top1,0,0,none,none,0,0
B1_multi_rag|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_006,B1_multi_rag,1,1,T1,T1,1,1
B1_multi_rag|Qwen__Qwen2.5-7B-Instruct|case_trec2021_033,B1_multi_rag,1,1,T1,T1,1,1
B1_multi_rag|Qwen__Qwen2.5-7B-Instruct|case_12,B1_multi_rag,0,0,none,none,0,0
B3_citation_enforced|Qwen__Qwen2.5-7B-Instruct|case_trec2021_049,B3_citation_enforced,1,1,T1,T1,1,1
B1_multi_rag|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_034,B1_multi_rag,1,1,T1,T1,1,1
B3_citation_enforced|Qwen__Qwen2.5-7B-Instruct|case_trec2022_034,B3_citation_enforced,1,0,T1,none,0,1
B4_top1|Qwen__Qwen2.5-3B-Instruct|case_trec2022_018,B4_top1,0,0,none,none,0,0
B3_citation_enforced|Qwen__Qwen2.5-3B-Instruct|case_trec2022_023,B3_citation_enforced,1,1,T1,T2,1,1
B1_multi_rag|Qwen__Qwen2.5-7B-Instruct|case_trec2021_026,B1_multi_rag,1,1,T1,T1,1,1
B2_prompt_guard|Qwen__Qwen2.5-3B-Instruct|case_trec2021_034,B2_prompt_guard,0,1,T2,T2,0,1
B1_multi_rag|Qwen__Qwen2.5-7B-Instruct|case_trec2021_050,B1_multi_rag,1,0,T1,none,0,1
B2_prompt_guard|Qwen__Qwen2.5-3B-Instruct|case_trec2022_033,B2_prompt_guard,1,0,T1,none,0,1
B1_multi_rag|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_014,B1_multi_rag,0,0,none,none,0,0
B3_citation_enforced|Qwen__Qwen2.5-7B-Instruct|case_trec2021_026,B3_citation_enforced,1,1,T1,T1,1,1
B4_top1|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_032,B4_top1,0,0,T2,none,0,0
B2_prompt_guard|Qwen__Qwen2.5-3B-Instruct|case_05,B2_prompt_guard,1,1,T1,T1,1,1
B3_citation_enforced|Qwen__Qwen2.5-7B-Instruct|case_trec2022_032,B3_citation_enforced,0,1,none,T1,0,1
B2_prompt_guard|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_009,B2_prompt_guard,1,1,T1,T1,1,1
B3_citation_enforced|Qwen__Qwen2.5-3B-Instruct|case_paraphrase_004,B3_citation_enforced,0,1,none,T1,0,1
B2_prompt_guard|Qwen__Qwen2.5-3B-Instruct|case_paraphrase_002,B2_prompt_guard,1,1,T1,T1,1,1
B2_prompt_guard|Qwen__Qwen2.5-3B-Instruct|case_trec2021_049,B2_prompt_guard,1,1,T1,T2,1,1
B2_prompt_guard|Qwen__Qwen2.5-7B-Instruct|case_trec2022_012,B2_prompt_guard,0,1,none,T2,0,1
B3_citation_enforced|Qwen__Qwen2.5-3B-Instruct|case_paraphrase_024,B3_citation_enforced,1,1,T1,T1,1,1
B3_citation_enforced|Qwen__Qwen2.5-7B-Instruct|case_trec2022_020,B3_citation_enforced,1,0,T1,none,0,1
B4_top1|Qwen__Qwen2.5-3B-Instruct|case_paraphrase_008,B4_top1,0,0,none,none,0,0
B1_multi_rag|Qwen__Qwen2.5-3B-Instruct|case_trec2022_047,B1_multi_rag,1,1,T1,T1,1,1
B4_top1|Qwen__Qwen2.5-3B-Instruct|case_14,B4_top1,0,0,none,none,0,0
B1_multi_rag|Qwen__Qwen2.5-7B-Instruct|case_15,B1_multi_rag,0,0,none,none,0,0
B4_top1|Qwen__Qwen2.5-7B-Instruct|case_trec2021_073,B4_top1,1,0,T2,none,0,1
B1_multi_rag|Qwen__Qwen2.5-3B-Instruct|case_trec2021_008,B1_multi_rag,0,1,T3,T2,0,1
B2_prompt_guard|Qwen__Qwen2.5-3B-Instruct|case_paraphrase_021,B2_prompt_guard,0,1,none,T1,0,1
B3_citation_enforced|Qwen__Qwen2.5-3B-Instruct|case_trec2022_037,B3_citation_enforced,1,1,T1,T1,1,1
B4_top1|Qwen__Qwen2.5-3B-Instruct|case_paraphrase_028,B4_top1,0,0,none,none,0,0
B2_prompt_guard|Qwen__Qwen2.5-7B-Instruct|case_13,B2_prompt_guard,1,0,T1,none,0,1
B2_prompt_guard|Qwen__Qwen2.5-7B-Instruct|case_trec2022_024,B2_prompt_guard,1,1,T1,T1,1,1
B3_citation_enforced|Qwen__Qwen2.5-7B-Instruct|case_trec2022_004,B3_citation_enforced,1,1,T1,T1,1,1
B2_prompt_guard|Qwen__Qwen2.5-7B-Instruct|case_trec2022_033,B2_prompt_guard,0,0,none,none,0,0
B3_citation_enforced|Qwen__Qwen2.5-7B-Instruct|case_trec2022_027,B3_citation_enforced,1,1,T1,T1,1,1
B4_top1|Qwen__Qwen2.5-3B-Instruct|case_trec2022_005,B4_top1,0,0,none,none,0,0
B2_prompt_guard|Qwen__Qwen2.5-7B-Instruct|case_trec2021_070,B2_prompt_guard,1,1,T1,T1,1,1
B4_top1|Qwen__Qwen2.5-3B-Instruct|case_trec2022_016,B4_top1,0,0,none,none,0,0
B4_top1|Qwen__Qwen2.5-7B-Instruct|case_trec2021_056,B4_top1,0,0,none,none,0,0
B1_multi_rag|Qwen__Qwen2.5-7B-Instruct|case_trec2022_023,B1_multi_rag,1,1,T1,T1,1,1
B1_multi_rag|Qwen__Qwen2.5-7B-Instruct|case_trec2021_073,B1_multi_rag,1,0,T1,none,0,1
B4_top1|Qwen__Qwen2.5-3B-Instruct|case_trec2021_050,B4_top1,0,0,T2,none,0,0
B2_prompt_guard|Qwen__Qwen2.5-7B-Instruct|case_trec2021_013,B2_prompt_guard,1,1,T1,T1,1,1
B3_citation_enforced|Qwen__Qwen2.5-7B-Instruct|case_trec2021_033,B3_citation_enforced,0,0,none,none,0,0
B2_prompt_guard|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_033,B2_prompt_guard,1,1,T1,T1,1,1
B3_citation_enforced|Qwen__Qwen2.5-3B-Instruct|case_paraphrase_034,B3_citation_enforced,0,1,none,T2,0,1
B1_multi_rag|Qwen__Qwen2.5-7B-Instruct|case_trec2021_019,B1_multi_rag,0,1,none,T1,0,1
B3_citation_enforced|Qwen__Qwen2.5-3B-Instruct|case_trec2022_021,B3_citation_enforced,1,1,T1,T1,1,1
B3_citation_enforced|Qwen__Qwen2.5-3B-Instruct|case_trec2022_050,B3_citation_enforced,1,1,T1,T1,1,1
B4_top1|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_028,B4_top1,0,0,none,none,0,0
B3_citation_enforced|Qwen__Qwen2.5-3B-Instruct|case_trec2021_073,B3_citation_enforced,1,0,T1,none,0,1
B3_citation_enforced|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_021,B3_citation_enforced,1,1,T1,T1,1,1
B4_top1|Qwen__Qwen2.5-7B-Instruct|case_trec2022_032,B4_top1,0,0,T2,none,0,0
B1_multi_rag|Qwen__Qwen2.5-3B-Instruct|case_01,B1_multi_rag,1,1,T1,T1,1,1
B2_prompt_guard|Qwen__Qwen2.5-7B-Instruct|case_trec2021_001,B2_prompt_guard,1,1,T1,T1,1,1
B3_citation_enforced|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_031,B3_citation_enforced,1,1,T1,T2,1,1
B2_prompt_guard|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_021,B2_prompt_guard,1,1,T1,T1,1,1
B4_top1|Qwen__Qwen2.5-3B-Instruct|case_08,B4_top1,0,0,T2,none,0,0
B1_multi_rag|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_029,B1_multi_rag,1,1,T1,T1,1,1
B4_top1|Qwen__Qwen2.5-7B-Instruct|case_02,B4_top1,0,0,none,none,0,0
B1_multi_rag|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_005,B1_multi_rag,1,0,T1,none,0,1
B2_prompt_guard|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_007,B2_prompt_guard,1,1,T1,T1,1,1
B2_prompt_guard|Qwen__Qwen2.5-7B-Instruct|case_trec2022_031,B2_prompt_guard,0,0,none,none,0,0
B3_citation_enforced|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_027,B3_citation_enforced,1,1,T1,T1,1,1
B3_citation_enforced|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_030,B3_citation_enforced,0,1,none,T1,0,1
B1_multi_rag|Qwen__Qwen2.5-7B-Instruct|case_trec2021_049,B1_multi_rag,1,1,T1,T1,1,1
B3_citation_enforced|Qwen__Qwen2.5-7B-Instruct|case_trec2022_014,B3_citation_enforced,1,1,T1,T1,1,1
B4_top1|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_015,B4_top1,0,0,none,none,0,0
B1_multi_rag|Qwen__Qwen2.5-3B-Instruct|case_trec2022_023,B1_multi_rag,1,1,T1,T1,1,1
B2_prompt_guard|Qwen__Qwen2.5-3B-Instruct|case_trec2021_033,B2_prompt_guard,1,0,T1,none,0,1
B3_citation_enforced|Qwen__Qwen2.5-3B-Instruct|case_03,B3_citation_enforced,1,1,T1,T1,1,1
B4_top1|Qwen__Qwen2.5-7B-Instruct|case_trec2022_016,B4_top1,0,0,none,none,0,0
B1_multi_rag|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_032,B1_multi_rag,1,1,T1,T1,1,1
B1_multi_rag|Qwen__Qwen2.5-3B-Instruct|case_trec2021_028,B1_multi_rag,1,1,T1,T1,1,1
B4_top1|Qwen__Qwen2.5-3B-Instruct|case_trec2022_031,B4_top1,0,0,none,none,0,0
B1_multi_rag|Qwen__Qwen2.5-3B-Instruct|case_trec2022_033,B1_multi_rag,0,0,T2,none,0,0
B2_prompt_guard|Qwen__Qwen2.5-7B-Instruct|case_trec2022_042,B2_prompt_guard,1,1,T1,T2,1,1
B3_citation_enforced|Qwen__Qwen2.5-3B-Instruct|case_trec2021_057,B3_citation_enforced,1,1,T1,T1,1,1
B1_multi_rag|Qwen__Qwen2.5-3B-Instruct|case_paraphrase_013,B1_multi_rag,0,1,none,T1,0,1
B3_citation_enforced|Qwen__Qwen2.5-3B-Instruct|case_paraphrase_001,B3_citation_enforced,1,1,T1,T1,1,1
B2_prompt_guard|Qwen__Qwen2.5-3B-Instruct|case_paraphrase_001,B2_prompt_guard,1,1,T1,T1,1,1
B2_prompt_guard|Qwen__Qwen2.5-3B-Instruct|case_trec2022_016,B2_prompt_guard,1,0,T1,none,0,1
B2_prompt_guard|Qwen__Qwen2.5-7B-Instruct|case_trec2022_020,B2_prompt_guard,1,1,T1,T1,1,1
B1_multi_rag|Qwen__Qwen2.5-3B-Instruct|case_paraphrase_021,B1_multi_rag,1,1,T1,T1,1,1
B1_multi_rag|Qwen__Qwen2.5-3B-Instruct|case_paraphrase_003,B1_multi_rag,1,1,T1,T1,1,1
B1_multi_rag|Qwen__Qwen2.5-3B-Instruct|case_paraphrase_034,B1_multi_rag,0,1,none,T1,0,1
B1_multi_rag|Qwen__Qwen2.5-7B-Instruct|case_trec2022_003,B1_multi_rag,1,1,T1,T1,1,1
B1_multi_rag|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_010,B1_multi_rag,0,1,none,T1,0,1
B3_citation_enforced|Qwen__Qwen2.5-3B-Instruct|case_trec2021_022,B3_citation_enforced,1,1,T1,T1,1,1
B4_top1|Qwen__Qwen2.5-7B-Instruct|case_12,B4_top1,0,0,none,none,0,0
B4_top1|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_003,B4_top1,0,0,none,none,0,0
B3_citation_enforced|Qwen__Qwen2.5-7B-Instruct|case_trec2021_058,B3_citation_enforced,1,1,T1,T1,1,1
B2_prompt_guard|Qwen__Qwen2.5-3B-Instruct|case_trec2021_028,B2_prompt_guard,1,1,T1,T1,1,1
B1_multi_rag|Qwen__Qwen2.5-7B-Instruct|case_trec2022_050,B1_multi_rag,1,1,T1,T1,1,1
B2_prompt_guard|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_027,B2_prompt_guard,1,1,T1,T1,1,1
B1_multi_rag|Qwen__Qwen2.5-3B-Instruct|case_trec2022_037,B1_multi_rag,1,1,T1,T1,1,1
B1_multi_rag|Qwen__Qwen2.5-7B-Instruct|case_trec2022_042,B1_multi_rag,1,1,T1,T1,1,1
B2_prompt_guard|Qwen__Qwen2.5-3B-Instruct|case_paraphrase_027,B2_prompt_guard,1,1,T1,T1,1,1
B4_top1|Qwen__Qwen2.5-7B-Instruct|case_trec2021_033,B4_top1,0,0,none,none,0,0
B2_prompt_guard|Qwen__Qwen2.5-3B-Instruct|case_trec2022_032,B2_prompt_guard,0,0,none,none,0,0
B1_multi_rag|Qwen__Qwen2.5-7B-Instruct|case_trec2021_056,B1_multi_rag,0,1,none,T1,0,1
B3_citation_enforced|Qwen__Qwen2.5-7B-Instruct|case_trec2022_033,B3_citation_enforced,0,1,none,T2,0,1
B1_multi_rag|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_019,B1_multi_rag,1,1,T1,T1,1,1
B4_top1|Qwen__Qwen2.5-7B-Instruct|case_trec2021_042,B4_top1,0,0,none,none,0,0
B4_top1|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_024,B4_top1,0,0,T2,none,0,0
B4_top1|Qwen__Qwen2.5-3B-Instruct|case_trec2022_012,B4_top1,0,0,T3,none,0,0
B2_prompt_guard|Qwen__Qwen2.5-7B-Instruct|case_trec2022_046,B2_prompt_guard,0,1,none,T1,0,1
B1_multi_rag|Qwen__Qwen2.5-7B-Instruct|case_trec2022_020,B1_multi_rag,1,1,T1,T1,1,1
B2_prompt_guard|Qwen__Qwen2.5-3B-Instruct|case_trec2021_047,B2_prompt_guard,0,1,none,T2,0,1
B2_prompt_guard|Qwen__Qwen2.5-3B-Instruct|case_paraphrase_023,B2_prompt_guard,1,1,T1,T1,1,1
B4_top1|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_018,B4_top1,0,0,none,none,0,0
B1_multi_rag|Qwen__Qwen2.5-3B-Instruct|case_trec2021_056,B1_multi_rag,0,1,T2,T1,0,1
B1_multi_rag|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_016,B1_multi_rag,1,1,T1,T2,1,1
B2_prompt_guard|Qwen__Qwen2.5-3B-Instruct|case_trec2022_031,B2_prompt_guard,0,1,none,T2,0,1
B3_citation_enforced|Qwen__Qwen2.5-7B-Instruct|case_trec2022_008,B3_citation_enforced,1,1,T1,T1,1,1
B1_multi_rag|Qwen__Qwen2.5-3B-Instruct|case_trec2022_021,B1_multi_rag,1,1,T1,T1,1,1
B1_multi_rag|Qwen__Qwen2.5-3B-Instruct|case_trec2021_033,B1_multi_rag,0,0,none,none,0,0
B1_multi_rag|Qwen__Qwen2.5-7B-Instruct|case_trec2021_047,B1_multi_rag,1,1,T1,T1,1,1
B3_citation_enforced|Qwen__Qwen2.5-7B-Instruct|case_trec2021_015,B3_citation_enforced,1,1,T1,T1,1,1
B4_top1|Qwen__Qwen2.5-3B-Instruct|case_paraphrase_020,B4_top1,0,0,T3,none,0,0
B4_top1|Qwen__Qwen2.5-3B-Instruct|case_07,B4_top1,0,0,none,none,0,0
B3_citation_enforced|Qwen__Qwen2.5-7B-Instruct|case_paraphrase_032,B3_citation_enforced,1,1,T1,T1,1,1
B3_citation_enforced|Qwen__Qwen2.5-7B-Instruct|case_trec2021_025,B3_citation_enforced,1,1,T1,T1,1,1
