backbone,judge,dim,signal,spearman_rho,spearman_p
mistralai/Mistral-7B-Instruct-v0.3,sonnet,patient_utility,dominance_ratio,0.11997992042040043,0.15
mistralai/Mistral-7B-Instruct-v0.3,sonnet,patient_utility,trial_score_share,0.05674713259851863,0.15
mistralai/Mistral-7B-Instruct-v0.3,sonnet,patient_utility,raw_max_cross,0.16649562209015592,0.15
mistralai/Mistral-7B-Instruct-v0.3,sonnet,patient_utility,best_rank,-0.028096544339745316,0.15
mistralai/Mistral-7B-Instruct-v0.3,gpt4o,factuality,dominance_ratio,0.03236179847202475,0.15
mistralai/Mistral-7B-Instruct-v0.3,gpt4o,factuality,trial_score_share,0.045994986532345516,0.15
mistralai/Mistral-7B-Instruct-v0.3,gpt4o,factuality,raw_max_cross,0.51,0.01
mistralai/Mistral-7B-Instruct-v0.3,gpt4o,factuality,best_rank,-0.10199373239844453,0.15
mistralai/Mistral-7B-Instruct-v0.3,gpt4o,groundedness,dominance_ratio,-0.015851588873118216,0.15
mistralai/Mistral-7B-Instruct-v0.3,gpt4o,groundedness,trial_score_share,0.15028645734855797,0.15
mistralai/Mistral-7B-Instruct-v0.3,gpt4o,groundedness,raw_max_cross,0.53,0.01
mistralai/Mistral-7B-Instruct-v0.3,gpt4o,groundedness,best_rank,0.12149307245989563,0.15
mistralai/Mistral-7B-Instruct-v0.3,gpt4o,abstain_appropriateness,dominance_ratio,-0.01292326766749588,0.15
mistralai/Mistral-7B-Instruct-v0.3,gpt4o,abstain_appropriateness,trial_score_share,0.1238353151417739,0.15
mistralai/Mistral-7B-Instruct-v0.3,gpt4o,abstain_appropriateness,raw_max_cross,-0.14671499493359366,0.15
mistralai/Mistral-7B-Instruct-v0.3,gpt4o,abstain_appropriateness,best_rank,-0.029534767939770695,0.15
mistralai/Mistral-7B-Instruct-v0.3,gpt4o,safety,dominance_ratio,-0.12405208773533884,0.15
mistralai/Mistral-7B-Instruct-v0.3,gpt4o,safety,trial_score_share,0.06536281019109066,0.15
mistralai/Mistral-7B-Instruct-v0.3,gpt4o,safety,raw_max_cross,-0.059629797462146125,0.15
mistralai/Mistral-7B-Instruct-v0.3,gpt4o,safety,best_rank,0.08187518331772944,0.15
mistralai/Mistral-7B-Instruct-v0.3,gpt4o,patient_utility,dominance_ratio,0.1614544708908899,0.15
mistralai/Mistral-7B-Instruct-v0.3,gpt4o,patient_utility,trial_score_share,-0.10815035625378824,0.15
mistralai/Mistral-7B-Instruct-v0.3,gpt4o,patient_utility,raw_max_cross,0.1353768374822554,0.15
mistralai/Mistral-7B-Instruct-v0.3,gpt4o,patient_utility,best_rank,-0.1303768299718883,0.15
